video_id,sentiment
2-lpCwVWYh0,0.0
gwtIWzlC9S8,0.0
yaR-hnlnkzs,0.5267
8xLV733MjPo,-0.34
8vgIHzGQfUQ,0.0
dtC7v9FJHp8,0.0
l712xEcltXA,0.0
ezzOH_tljEA,0.5267
nmbwQqH6JnI,0.0
dUdp_MSKMwA,0.34
XmnMLB7RxcQ,0.0
kR8p5YuiCps,0.0
wsyr0SwLexI,0.6369
zDv2B606lvg,0.5106
kXUnt4onpXc,0.0
o55vrpTwXB8,-0.8074
4dESmtswQ58,0.5106
aIp1i3TdbzU,0.0
sNRcVXkZjWM,0.0
6Yn4SX3H6hU,0.0
UfXRrCQbgKE,0.5106
1PyZXJukPsg,0.0
JbeFiCMlsiM,-0.5719
_l-urjDAXgU,0.0
BrtnK7vXUuY,0.1027
Omj10ulxn28,0.0
Mn3ogxx0rVg,0.0
mwsPXlNtlRc,0.3612
aGXCHTq4jig,0.0
QpWd7J9oT40,0.0
dKx85DsVxWI,0.5106
Q6EgH8VZFt0,0.7469
C1YxrkEwcn0,0.0
4FWTDWFnDhc,0.0
-pwcrfB0ALM,0.0
QaKXa-8usbM,0.0
YLQGucRN89Y,-0.4576
3M1HCcjsQhQ,0.0
YV-576jC1BU,0.0
dBBNp2kk6V4,0.0
FsuvimkuckQ,0.0
usJSDPZL5ho,0.0
SOfXjK7NgII,-0.0516
dSf-tM_HtPI,0.0
MR9q4IQhyyE,0.0
OXhcfUptAtw,0.0
-XsOZFecEH4,0.0
GJO7WZSBgGs,0.0
nNIU1jFD6M4,0.0
wnRGuyDcNyc,0.0
PudNeMfDrHQ,0.0
ym_JxcFMIlE,0.8402
dZ_QAWmoeGw,0.0
eqZ_E9nKdoM,0.0258
Fij6CTrMAFc,-0.0258
PuM2mVuztFY,0.7506
MSmI7JaGX0E,0.0
86DqjR5iP5k,0.5106
vRDMZ_xw7e0,0.0
pC-fqGOSSUQ,0.6369
QB9cMklPgnM,-0.6486
cIY95KCnnNk,0.4588
Phc7yOd1SsM,0.0
lHop2uWMaQ4,0.0
-HTYHimC3BQ,-0.4404
2u7hOy3JLVE,0.34
7JoCgGJGJ7Q,0.0
YPckkXgc7oc,0.0
NjjlGmDI0xM,0.802
zfMJ3jX52o8,-0.3818
VY-Ewukt8tU,0.0
CvPnthTC1WQ,0.0
uMMJbbjR4b8,-0.3612
-GKZis4ihzo,-0.5994
5TlneyfVz-M,0.0
Wq44Oe7T30E,0.7783
LKCXvocFzcQ,0.0
dNTUVVXUlSY,-0.5106
POQfESbt5U8,0.0
ncbo-9h1xLQ,0.128
oSiIHal1WY0,0.0
F9SV-BHXq6o,0.0
1ccHS6Ws-Xk,0.0
0Bt-JZSVWmk,-0.5927
b3d8wgZ9C-Q,0.0
2gitsm-xnVw,0.0
69rAYdEJbsg,-0.4767
GDauqjE95hM,-0.128
Dp4BrNvfdHU,0.0
1JSjZqV-YK8,0.0
jzZrvX1xnh8,0.0
TDA3lOXr4uY,0.0
ptdGvoY0syI,0.0
x7h_gT6d9Sg,-0.296
jKb8UZDycAI,0.5106
g28JsG2SrZc,0.0
jZW9Y5-MIAY,-0.34
5H8d0Iayix8,0.0
qzIkmPx9NTs,0.0
dThA6_CFRq4,0.0
qP9tvl0-lzM,0.0
Q3K3Prr9hdM,0.0
FYQkPHLum34,0.3919
zk0Qbmk5C5M,0.0
Nvrt2KlVv9Y,-0.5267
tbDTotvxpL4,0.6369
mHnNsGJdh7Q,0.0
LIaGA-77Cl0,0.0
peinGXjSO4I,0.0
he4YGWH3E10,0.5719
bgUh1yTUeZw,0.0
kQCXo6rGI8o,0.2023
uAekYuDHkms,0.4005
bPEH4y1xC5A,0.0
hxPmISV7ACQ,0.0
xA-kc8rf2gE,0.0
HYhAOK_PJ0s,0.0
9Mg_wW8LE5Q,0.0772
wODRsuNvpys,0.296
lgw3lsOYVxA,0.0
XzomlQPin5Y,0.0
jP1wquJfYlc,0.0
jrJ3pff8D04,0.0
LCQCQrnPUc0,0.0
AhPlgAuQEfI,0.5574
jaB1Jv5fiFQ,0.6124
_6pdUxUxRt4,0.5106
Kz5v5QH9CN0,0.6369
WCIgqi4DQzI,0.0
1m0qQ2X3Mo4,0.0
9qhoVcNKNy0,0.0
d9vQVK0qq6M,0.0
XR2cUevXu88,0.0
TDl5086xtpk,0.0
8ITEQ5aLkrE,0.0
N54CB1Rdkeo,0.5106
5fYjCnzRLH4,0.5106
pALkutZ82JE,0.0
T273uazr-AA,0.0
lCwKdYbPvho,-0.5574
dLJ0EmNKeUM,0.0
xHtZ5-8GPaQ,-0.296
DvhgOiC5ntE,0.5106
1xBEKlbJ7Qs,0.0
WR_s52zF6Fk,-0.7717
pFpLKwslvFU,0.1531
2M_s5jms1f0,0.0772
4vMNUT7To9k,0.0
CjG90KNab2s,0.1027
8P_GzTcsVh0,0.0
cNxBHBXCCFM,-0.4897
mWBPaPDft18,0.0
rOWcW3AbF50,0.296
1v6s1JqzDDk,0.0
MjO7WEdl4Tk,0.0
eo-hfihoaRw,0.296
Tf7HlmfQJdQ,0.0
2K859tW8jxY,0.0
h6epv1BfL-c,0.4404
Fpnyx-HLHn8,0.25
M10F2or1zaA,-0.296
2OfGdnNBzhA,-0.5423
F5QBgwmMPHM,0.0
FmYXsAp8Tu0,0.25
NYjkFeD5HWA,0.0
s93P3hktEG8,-0.4588
-WVLuMP9qv0,0.0
IXSFjCfhVfs,0.0
ApDpfqVINbc,-0.6808
Gd94h0gLSr4,0.0
HesUKwyP7Dc,0.0
P5vn5EsAuOs,0.0
YGxP7CShMaw,-0.6597
2MSROxKXIUo,0.0
-LcdpQ2LLK0,0.0
0hVP-CJ1Spk,0.0
KtrC_hAg_xs,0.0
lTLN9raIwfQ,0.507
zKdOJg2iLbQ,0.0
UQOKTsuY2sc,-0.34
DvsyigqsXr4,0.0
KTJoDkowoOw,0.7845
ox57kej5lxg,0.2023
lxK5nja7-vA,0.9246
nwC_BbTrOqA,-0.3818
-WXfmdh9whw,0.0
iDve1sNO72U,-0.3818
igLObL23EBU,-0.6249
lW7VOqIo33Y,-0.5267
Q2uKMU6Qaf8,-0.4767
N48j6aW384c,0.0
7rsoxZs_J74,0.0
eMgjTA11VVk,-0.3818
7cO55R-WPOw,0.0
XHT86A6IEjk,0.34
OvH33bgLGkA,0.0
X09yxFuKLAs,0.0
IibsgJJSt6E,-0.1027
w26aQSbGR40,0.0
7IRBOR7rXiY,-0.3182
Rx-UYXyZDHs,0.0
cymOpgaRPWk,0.34
GaR4bV13wnY,0.0
iaouUJ_iNEs,0.296
2C_hk_xSIjs,0.0
_ppW6u8zSC8,0.0772
LrOtLPIvv9Y,0.0
8d0CwSk2yrg,0.0258
etJkLp6GYdE,0.5106
MsUAlt-kzCI,0.0
9GlgujafCqU,-0.3818
3wiSmTTv44I,0.0772
BoDjJbpw0Qk,0.0
3mmZDyK8zmM,0.0
TYR7b7dgp60,0.0
jL4LxHk-xwQ,-0.1027
kZgvu1-bp9E,0.0
K4DqghipTMM,0.296
VV_-FWdcchI,0.0
P_ss6c0i2Us,-0.4939
mSmNMV-LzbA,-0.0516
t2aMH6eRlig,0.0
EuVmMCwIa-k,0.0
RjNI-tEU4y4,0.0772
8t01Ts_MvRI,0.0
03a9GxslJ7w,0.0
q2pOeP8qRAw,0.0
rZ46kEk6aGg,0.4588
H0YLOz6kvX4,0.4215
GXr5glhGkzE,0.0
RlLDwm7dCJg,0.0772
8JYYs2WIebo,0.296
dYrrIYSJDL8,-0.4939
lmSJB6BQkMQ,0.4767
14fTQQgt0cM,0.0
SqzHdWtH2G4,0.0
FChmoEjicmo,-0.3804
urDSUQgaVWE,-0.25
ZvzzMFgy6mw,0.34
i0zb8HVuevo,0.0
mQsfUqIK_eo,0.0258
54giFcLDsNU,0.5574
eUa7UeMiFWM,0.0
GOgmbriwjP0,0.5106
KksOzC9sfGg,0.0
p5ATpVW_lQg,-0.25
zYrjq1LnpZM,0.0772
w1lk7ykbnkw,0.0772
ooF5-00kIyA,0.5267
se8pJ2y9Grk,0.0
qNMfF9TYETM,0.0
wlrHHBxI3-k,0.0
rq89lRnGI2E,0.1779
poMdte8P0kM,0.1027
wW2Zn9zhcv8,-0.296
j4nlyCw-zBo,0.0
MuvbEM4UeUg,0.0
xrmOC7kMYzM,0.0
XFWhnzXke24,0.0
HdWSGeanjnM,0.0
FoTB0b8_P5k,-0.6705
chuRE9nxLT4,0.0
zxhjgDihPlM,0.0
jzQoqEo2BC0,-0.4939
o5RhbG3tOT8,0.0
mHAGoyfa2DQ,0.0
uen4zXGXmzQ,0.0
bgWxURqPUiY,0.0
cDJmsEPyHxI,-0.5574
4COHuye3Vc0,0.0
SNuJrSP3JDA,0.0
QIiclQeea3A,0.4005
2zbEdMRlPYA,-0.4767
Hwih2UgA6Bw,0.5574
6fU9Hj0dKn8,0.0
u_SM7jTzCiE,0.0
1UL1MaWatIg,0.0
VOgx5dH8XtQ,0.0
hOinBwNDMY4,0.0
jCIz4Xi2kzc,0.6369
PV3WVcrRPPw,0.0
R_xPWNEXAWw,-0.765
4PCpkYZj67Y,-0.6486
7mX_sfFbb4o,0.0
nBpm3XuagH4,0.0
Lp3lIPOYPbg,0.0
B5u5Iglewds,0.0
gMxyR7drGrk,0.34
a6xKCmdKnGU,-0.128
dEzFlTlbHgY,-0.0258
SEWzIzwLwqU,0.34
DfLRiHsw4lw,-0.5859
hdWxBnvmMfQ,0.0772
pk2QPfauqxs,0.0
ZNpWa6vJoKY,0.0
m4Xsd05kW-Y,0.0
CCEjXudHuQA,0.0
0HIbxHoaa18,0.0
mU9c1Lqju0I,0.0
MrDZ86j7g8s,-0.5719
UisWjXNUWPY,0.0
gkp6OG1P7xc,0.0
74pmZ6_R5F4,-0.3818
OAGWNjOGrqM,0.0
k2KEAooEaGY,0.0
_VIsUqt_bfs,0.296
yEl07UtYpf0,-0.3612
69Lpzrz2fNM,0.0
GmzPBbl7248,0.0
n_rUKClGTHw,-0.4588
V-nLMdZY4-8,0.2263
_QIdWcUoOpc,0.0
37SGOGHCrVI,-0.5267
N10rm6Efg1w,0.0
igKHu8iY6xI,0.0772
x0_RMONXxQ8,0.0
wNVkd2vFE0U,0.0
ZU7Cph1qLck,0.0
dLEq5V0WnGY,0.0
FatQeec_M_w,0.0
PVwbuBOggWo,0.1154
LsgHD7x_My4,0.0
thg_iltuoTY,0.0
Vp8hUPS05oY,0.34
FyDw9wBaAF4,0.0258
GQg6oRJPAVI,0.0
x7cow_ZIRUM,0.0
Fh5WHRKkq0k,0.0
FG3Oa9ondAc,0.0
PPIb8Jegvws,0.0
rdr08epJmEw,0.0
loIJBVYbPQ0,0.0
a-hrITYS6oI,-0.128
D2aJvo7qmeo,0.0
M_XN-z720es,-0.5423
Olgdm6g7pOs,0.0
_dtpIlgdEi4,0.0
dDetWZeHyXQ,0.0
5i6ZxWRNUog,-0.1779
rN5AO_LNMH4,0.0
yre9Anruroc,0.0
GG-UjZ_NYtM,0.34
io-rKv02yTg,0.0
jBWuGsln_g4,-0.296
WBKmwQ5m9Ag,0.3612
4kfNAIeAqS8,-0.5106
0aszoPioI7E,0.0
roIUzO83e7s,0.0
T36_4HUW4q0,0.6369
2qoyAqmb0lo,-0.4215
SuAVeLJKGbs,-0.5267
WfLOBeeLtuE,0.0
B0CNc6eRriE,0.5106
FuBZRXdATCw,-0.6249
Mk-JSxz_HeM,0.0
cDSqUrRV9Bk,-0.1531
N6s3jXi23a0,-0.1027
jh7IP-3ST24,0.0
9MWD0WnPRGU,-0.2263
ALfD7RUxKvg,0.0
2pOpcR7uf5U,0.0
CnjPVu0JaZg,0.128
5tgh7WZIAbE,-0.5423
9dBxeGMeDX0,-0.022
X8Z3DA1wmNA,0.0
u_cmLpSk33Q,0.0
uoQm3539dcs,0.5994
sHWPulGIHq8,0.4588
IoFutBiL0Ec,0.0
p02Ww4YrsiM,0.0
_JDbOT6Hv2E,0.0
I6zEl5mdyuE,0.0
GCFeTTAJa0E,0.4404
qlZsCdQdE-c,0.34
t696e3_Z3_k,-0.7003
fF66Ycs0cPQ,0.0
h1Im4L0FbXI,0.0
Cd7LuCwPya0,-0.0516
T0wFXNfEbek,0.0
m7OqQkkm2P0,0.0
o-tooH0neYk,0.0772
OAQ5ZjDvKRQ,0.5994
Q5-lgEFvGxU,0.0
gI4azsiNXRI,0.0
BOw_M_4ww-k,0.0772
GIIkiHdoMfg,-0.34
lXTxm0-oKLo,0.0772
kQK4854vvYM,0.3182
7m_bYDEHaa4,0.0
Nnc7UlNmapY,0.0
M7z3o1PaTo0,0.0
WUtf1eMnoa0,-0.5106
5ZjRzsQmXsA,-0.6908
jKST3q2erq4,0.0
WxPzfEzF9vU,0.0
ERK0j4RU9f4,0.0
CeMfCCagMYU,0.0
ZB1GrQc-xUM,0.0
AF4X92XzA0c,0.0
-bs0i5LFShc,0.0
lGwG28KiSiE,0.3818
m2I5NJLwGTY,0.1779
mIa1_HjS0rU,0.0
un-AJ0e8G4o,0.5423
nukBlF2LfHE,-0.4588
EO-D6fd_U30,-0.631
LiphVMxj45Q,0.0
nYujD5s_ynE,0.0
u3GUklhJvC0,0.0
wlSDmXnk0jg,0.0
AfDCAHnzp7g,0.2023
1GLMYgNM_uE,0.0
