video_id,sentiment
BkxPuRFKP6E,0.5719
LAHR_3kIk3Q,0.0
Kck6PK3i_O8,0.0
Z_BHtuz8Em0,0.0
QgQW1nQTM6A,0.0
h88eHDDoCwI,0.0
X2oLX88J-m4,-0.2732
Vu3vJnS8iSo,0.0
jgU279FJ6Ks,-0.3182
1eJw-KH0wcI,0.3612
qc4AEMsNl_c,0.0
sB_0iveecZs,0.0
JwustgwKZEE,0.0
nKGNUcAHqoI,0.0
uLgefJAndSY,0.0
YSHBko4FGv4,-0.5423
iaoQA6GBZ1o,0.0
5qsS8ixMYx4,0.3682
JmUh-dv9lyo,0.0
FTzq6kazQGU,0.0
kXB-_liCU-Y,0.0
Y9bjHNpqOro,0.0
58wJjAGEVZ4,0.0
wyldmgvjk6g,0.0
q2srnaPPxZI,0.0
tfkjwavDJ_k,0.0
xETiYF4bVa0,0.0
XV4gdL8uUfk,-0.2263
RCDfPhyzzyY,-0.4767
lWEj4J9cu7Y,0.4019
E-6Wh4ywd44,-0.5423
2HVw6uKWMS8,-0.6249
Izdcf5B3isY,0.0
DHzCJFreP7g,0.0
Xv7yKPBP_Zo,0.6124
N7Z7xfD-mvA,0.296
vnfBBUIMjyI,0.0
nA8CxaJWnf8,0.0
7PmJ9MS6xmA,0.0
VnN8IudPm00,0.0
gLkhbb5kLw4,0.0
4E6cD-VWhQY,0.0
jeR16SOtluU,0.0
3wdaUSJSLbY,-0.296
CggfnIfqWTg,0.0
8p4CBCaTa8g,0.0
FWGaakHg-I8,0.0
Ow382SFaKg0,0.0
KOPSGGG-vT8,-0.5994
3SswFGK7xm8,0.0
rmnUcZb_Osk,0.296
1XqjkxVx30s,0.0
HQBHq0vB8ao,0.0
xRgdp-tPyK8,0.296
E_kNOMBzpSE,0.0
914DoCPawhI,0.0
cc2DWKX-sII,-0.2732
C8vgdmEoq1E,0.0
SYbg0Y_nTFI,0.0
sVbnUo0elgg,0.0
F0vniVNGO6I,0.0
9ETG0SZKKgk,-0.296
Fogm1rhk6fI,0.0
fvVX6-567jU,-0.34
C8MFEeBNMk8,0.0
wSVjeeSXmoE,0.0
qUcMQcwDx5M,0.0
3tYIk1IwYUI,0.0
hjPV3FVIQPk,-0.296
VzX2OSn368U,0.0
-VYG7Ia6944,0.0
NpDr0ClRqBs,0.0
55l5H9LITiQ,0.0
tQ8vS6MrMWs,0.0
PdbkI8Gtk_w,0.0
xUUI3Pn5uGo,-0.296
eT8Zll_sE6g,0.0
abHUh-NOnSM,0.0
f_tQZ6naJbw,0.0
6ekh84_52HA,0.0
xla6zVN2Yfs,-0.2023
4LI1qjJor1U,0.0
b8JzhUHhlUw,0.0
f5U0YC-n8IM,0.0
bpdbKY7vu9g,0.0
kFLQkz3BQkU,0.0
2d6s5OApRcI,0.0
1RWXsSTqFIo,0.0
BGAjEcPRTe0,0.0
JBx01-ZW8X0,0.0
qzsfGfRJdGw,0.0
KwMU8WzhAUw,0.0
dJG88HZJZqY,0.0
lqwoEngRU1Y,0.0
wCcNGCjQbD4,0.0
gGNGmrKR3UM,0.128
tZmq-vMgnc0,0.0
MDdFJd__Srs,0.0
C0gbKuZF2IA,0.3818
TWZfuBhUiuE,0.0
IN-8mrSoqj8,0.0
bzLPV8-pxRE,0.0
gLnxhDd-Gek,-0.7579
R0BSrclmUB4,-0.1027
cwbv3DQLClw,0.0
f-6fGHCsaWw,0.0
CnI-Irza45Y,0.0
Xx5PYnITqHI,0.0
gHBk1r_SHpo,-0.4951
b_JguFsHaVY,0.0
DvHwZxqZlX4,0.0
kotZD4w_OHg,0.2023
J6EMCh6lmfw,0.0
_l4o-NaFItY,0.0
2mtWw3Fk6fk,0.0
6o7xZyMsjOw,0.0
0-qDK3gikio,0.0
X_8gbW4vwsc,0.0
ohmlfpWaioo,0.0
ao0bEMSo_Eo,0.0
81ywMyCA6EQ,0.0
JesqommSamo,0.0
NKc834QHJz4,0.0
9nUeswTA0c0,0.0
RIik4Asc3RE,0.0
xCPenTaDnTI,0.0
2z7YBbepstU,0.0
tNpQu2KpcHg,0.0
lJVjxQqWkLI,0.0
yK4vEyTkZ3M,0.0
zYlpMupR3-o,0.0
E4BSyvQmWG0,-0.5423
a7T0ShyY0MM,0.0
6p_QFDBqMgY,0.0
mpHR5esk3_Y,0.0
RFWmcTSwTZo,0.0
GOKHZ2RjOEQ,0.0
zarWgBBivF0,0.0
ejzQVFxtRgc,0.0
D88RHPZQSto,0.296
c1RVYA-gwzk,0.0
Dq34aCsoKpc,-0.5574
PgrcSra5-3A,0.0
-A-TvFFlJCY,0.2023
tpdgpezQAw8,0.0
kAYX5uj7z-g,0.0
5JYfnQrDizA,0.0
4LstfJs962Q,0.0
p_LAt6nK4N4,0.0
oXcNts4Qhpw,0.0
O60XM25pKOM,0.0
kr0Yy810Pow,0.0
MhYXiKjjo-s,0.0
o4ILJxpbmKw,0.0
lKn4xo2zHpM,0.0
JFQGMZKZCV8,0.0
YRLOdHWnVPw,0.0
J02lwdCs15M,0.0
7j9bYy6_SMk,-0.34
hL4lPh_fj4o,0.0
6kLc_qrppMk,0.0
jlo3FJEkrv8,0.0
IeAaB8PCqiY,0.0
sWWtN8_C7vE,0.0
8u0J2d553zY,0.0
SqAQv88jw8E,0.0
zehgeEDJV0U,0.0
UuNsAFg8fWg,0.0
JGK5gi_mwYw,0.0
Q4ukOyr_OSw,0.0
uBJEfR8RD2w,0.0
3AZFJoPPADo,0.296
h9JkBt4__vk,0.0
HZqE2HUvCZY,0.0
piDlQSZ0n2M,0.0
8ZG3drj4YK0,0.0
aXI_7MEFxKY,0.0
IVDs2dQOyck,0.0
JFMLCGVINKg,0.0
OiidtCI6T1g,0.0
5Qv9wuJqqU8,0.0
ka2nhrbaHs8,0.0
9Xx9uqNRSOg,0.0
kBnjEjBZggg,0.0
OC3wsE8FMZk,0.0
B90yWQeLH1g,0.0
WMmb7IVtPlc,-0.5267
wEGyH5cMI50,0.0
bCgdRmL26l8,0.0
rPFZY8lhTeI,0.0
I7kHgZr3A4M,0.0
aQslUmJ2agA,0.4404
uTH5qr60da4,0.0
tnffO8kfT3k,0.0
hCApTJ4_qKs,0.0
O57UrDnF8iM,0.0
W3Mz0a3SzpQ,0.0
nsNNsfEX324,0.0
xsOO0V1S9WM,0.2023
YueTkgsFsBU,-0.2732
htNMYsKYnnE,0.0
O0UeoV8qG_I,0.0
Fh4djFZ3RNc,0.0
jv37qeSOAwM,0.0
E9JWj2aJAB0,0.0
uCna0wjKvt8,0.0
WHJLwBhq8BY,0.0
HawUwrefluQ,0.0
