video_id,sentiment
OLa8DQkKlyU,0.0
DAOFpgocfrg,0.0
ub88I0bR9ho,0.0
WW0IIyrq8z4,-0.34
-bYaFqubQDw,0.2732
dQhhcgn8YZo,0.0
LUE7jCGQr1E,0.2023
Ds_rzoyyfF0,0.0
brLe5lnkF6Y,0.0
jisTDmIk3Nw,0.0
IkYimZBzguw,-0.4019
Mr7IEvlflnI,0.0
uUDWK4MGcr0,0.0
IGjCOJqINPA,0.0
D4aAwzGlVJU,0.0
j_wQgy97Pi4,0.0
OTexBdX9lZ8,0.0
nsGvcejqzb4,-0.2732
IEfInRPdjAI,0.0
D1kqGyPGsF8,0.1779
Pj21n6mFwFY,0.4449
YdjERhTczAs,0.0
SIif11QOsRI,0.0
Vs5j0CLPHlI,0.0
UepCFseK_os,0.4939
CjpXj2BqJBY,-0.5994
OFV5hqIXSRI,0.5859
xW8Oocswn9s,0.0
M8d3pxVb4c4,0.0
uWCPzJ62s9E,0.0
BvTkefJHfC0,0.0
2RCDMQMYxBk,0.0
2voX3fjMGjA,0.0
-Ibnq-dzpXk,0.4939
kp6-bgvlRhg,0.0
jC8CUIID2HA,0.0
j_Nws3R4fsA,0.0
GgniB25RIaU,0.3818
RzgVWpa4fzU,0.2732
A2oPC4ytFrE,0.5859
YYxRi5rs2Gw,0.0
S-SOEBTplOM,0.0
ZpSZdQUIlpg,0.0
IDQBd9cVZAc,0.0
6DVVWzymbE8,0.2023
KXwW6F181i0,0.0
W-UEGcogulU,0.4019
znh1Xm1gGo8,0.0
QI7tzS7vXF0,0.0
AbrNCUEJDRM,0.3182
TRR5pDYw8og,0.0
FeHwdyvvJ-w,0.2023
EiHTppZbWTo,0.0
9ZFx-7zI9MQ,0.3818
SX0BavA2ovo,-0.3818
1vWldzHWUtc,0.3818
0EWCqCIsFOA,0.0
TthHg4qPjDA,-0.34
1BVu1wqJN3w,0.0
OfxApSZ5bCM,0.0
ofrY_dktQCQ,0.0
2yj6jLY5YHI,0.4019
1QwyMWM0Jjg,0.0
O_s5wAkXowI,0.0
ZqpDFnVUBU0,0.0
7is6r6zXFDc,0.0
lbOu2faRwYE,0.0
AE30CYA74Eo,0.0
o2pAr5LFFVs,0.0
Y2vvTPc30fE,0.5423
d7dt8X1GS20,0.4019
KOPE9rqkrHA,0.4939
8fwmXRVOLMs,0.0
cuVUU9vBM5o,-0.34
EZUnnFL3SHU,-0.2263
6xcm8zPgf-I,-0.34
2iSE6XlFXhA,0.0
Iuz6OSz-PlY,0.4019
Bk5R2ImC9A8,0.0
zu499ocrEHo,0.0
cDUv3hUQ2C8,0.0
_wQxCjCxCiE,0.0
SmXL5-HG0LY,0.6808
jD9QkeAd0Ak,0.0516
uZaZWBK-x9w,0.0
rEX0vQVfK6g,0.0
rpWkd_WGOak,0.0
43-Pb6uL1cE,0.0
kkqdMjX03dg,0.0
HRvme6yp1tg,-0.4939
83M7gRW2_X8,0.4019
D86jjRjedAg,0.0
0MzIh7wkgMs,0.0
C7BjkXF2bxU,0.6249
yWuY00KtOjo,0.0
9jq0P6-Q4bo,0.25
7Ywmy9Rg0HE,0.0
UQFFf2tHTfE,-0.7096
a714mjyjOaI,0.0
97Zsk224_94,0.5859
96iMj5NSyyY,0.0
Qape78ZyF8E,0.3182
P6mwnfqoNFg,0.0
iwDD3h9Mc1Q,0.0
zrQKw120RgY,0.0
RBjWwlnq3cA,-0.6597
RPjmuJcWm3U,0.2023
hXhMAj1pUMs,0.0
VMbsjkVNvXA,0.0
93d6hdyX3BM,0.4019
mRQTM0xU9r0,0.0
GzWvQ6eXEiY,0.0
PU5PSjadch4,0.0
TuljCWV6gLU,0.0
7hZ5hinf9vo,0.0
C9FLZkDaS0U,0.0
zQHA-UaUAe0,0.0
p6QmV1EbVnI,0.0
pMe9ZGIg-Jg,0.6369
bJ6WUdTT6q8,0.0
-dXbLg3miSY,0.0
mjD6LHUytl0,0.0
_BnlKmtYtts,0.0
t12i76lnOnY,0.0
kID3n_-kees,0.0
Vfwpzyev3tU,0.0
weXXK4nLdNs,0.0
LSG8kVlbEvI,0.0
cHOZVNsyFmk,0.6705
S4CjZ-OkGDs,0.0
7ShjUrcPBXM,0.0
f9PM8b8Dg0g,0.0
UGq1u5kunaY,0.0
C-PKa87_4hI,0.0
E5zfL4ntIFM,0.0
6dG19vK_iRU,0.0
b2HaSaLmo3s,0.1779
H17Ni6XFYR4,0.0
teNomuiA8-k,0.0
xZs3FolkI-8,0.0
ebO38bbq0_4,0.0
W_c6ntutPfs,0.0
UttB1VHXzug,0.0
JF1bVr4L8jE,0.0
PiHdCyYF26U,0.0
5FaVqpGXEhE,0.0
cyLtGj8dAJs,0.0
zMho6swh59w,0.0
D834VT5oumc,0.0
cM_Lr3oC4bc,0.0
AOE0WX30664,0.0
Y32Csnt-1Pw,0.0
r0Nwfoevn1M,0.0
hdDBvC7kop8,0.0
1hMer3vzTLg,0.6249
GqJwmJD0_m4,0.0
1WSS1kDXD4M,0.0
xyQjFKJIcaQ,0.0
nRMiQRiK5GY,0.0
TZLUFv0XG9w,0.0
2eFFu7ZvngY,0.0
O2Afpc800FE,-0.3182
k1pCKruO3qo,0.0
2WbMz6Ypy9g,0.0
rRGYHFulzkQ,0.0
4wz8Kifsd4U,0.0
uf6EGvl7nJo,0.0
Zfpk1f222Sk,0.0
hGQLyAeN1cw,0.0
iME0NtUNIEI,0.0
1GFst2IQBEM,0.2732
kxSX6YJTS2I,-0.6597
lrfujWiTSCI,-0.3182
IU4A4h1ACJs,-0.6597
dROtlKn1DpU,0.4215
eT_aJlC6uxU,0.0
OFB5v5GK3OE,-0.34
fI8_N_JLDOc,0.0
LlHUx1-HTxw,0.6369
VGFQIkEykxs,0.0
qVw8l8oTo0A,0.0
LZlg_YoxW6M,0.0
ukFqznolbb4,0.4019
55MSTb14PD8,0.0
TklZvfKk1pU,0.0
ll8WXZuAPYs,0.0
aWRxknlyaFY,0.0
tJlv7OoQgvE,0.0
MILxgpU8AQM,0.0
4_AFzKlAXsg,0.0
fLlN8SBTOGs,0.0
lFlVF-OAbvs,0.0
m68izpH-5_0,0.0
9a2WBmvoXlI,0.0
Hk7ZgZ4BDf0,0.0
dXEMFlrm0Rs,0.0
5GJLmwtBgDA,0.0
suay2Fak6C4,0.0
G378fWpgVOQ,0.0
0eN0vhUO5M4,0.0
_Jn5LZNH09E,0.0
PIjojolu7M8,0.2732
OhalFgj6LJY,0.0
Yahbyxj41Ws,0.7906
Ao5cyzOTHSc,0.0
3K9UG0mGDhY,0.0
58uOozdeNl0,0.0
mN0i7HJwWEo,0.0
jUcrci3VvOU,0.4404
CWyDk33Sc8U,0.0
yp-u1eoy4VE,0.0
ZqsVN4oVn_Q,0.7096
0NQpwd5yK0M,0.0
m8fq5WF49Uk,0.0
Cu3cWO3o4ws,0.0
YfcVqe5MBuA,0.0
3QVqQibxniM,0.0
kzcp8UNNM50,0.0
_wI6vbFfNfM,0.4215
fY0E4xRyfek,0.0
pe9o_TqMjmc,0.4588
9OQw9iwupYA,0.2023
BNPnCxDMmkA,0.0
Ck-_QNscMFw,-0.3818
uWdhgl2xCGA,0.0
aNJJtWLM-t0,0.0
5c8yXuaoPEE,0.0
RtjZdX-eBfw,0.0
yj0JAgzidkQ,0.0
K3YOxbZmtvg,0.0
VhRBGviuAIQ,0.4215
d5DpQ6PghCQ,0.0
k1iT3w00n7k,0.1779
FtbFHFFdRjY,0.4215
oDmaQCMwQKM,0.0
O7eVipiHjfM,0.0
tB6dbUz8WIE,0.0
D65MtHu4tXQ,0.0
ADM1cH7jF9I,0.0
KGY3KVtOojY,0.0
Nyb_HiJSVVY,0.0
AbbZc9vIb1Y,0.0
74vIFs99CfE,0.0
eYWBRRhu5NU,0.0
bVdAiAZROD4,0.0
_ORT5Z__Zxc,0.0
UjQXsuazUpY,0.4754
X14sRtcHJXs,0.0
39PMJkUY3Tg,0.0
y7yX2pgHFvo,0.0
fi20J6enVIc,0.0
6UVh8Y6uFJo,0.0
3379xUMQwdQ,0.0
apYTU-1DbMM,0.0
Qo2NCWDUFHs,0.0
_7bj11HHyNo,0.0
ZtWFUm2oRIY,0.0
XLjzBTpk5J4,0.0
kqvvxhVTgUI,0.0
V9uE26uGT58,0.0
jSZlcScF6gg,0.0
f4s0TsShDL4,0.0
Pt76FFq3ado,0.0
W_D4cfftOgs,-0.6597
O46UlgeEtEU,0.3818
ENoFzumxcyc,0.4576
Kr3bpVCnZc8,0.0
l14eQ0rPIR4,0.0
vFOYTT2zdL0,0.0
oZ1epFUsg0U,0.0
ZkWvSJ3bRZc,0.0
8Fk9E2aDHig,0.0
ENjqpLtbwUE,0.0
WKjD6Q42YIA,0.0
6NXrSHtdrKA,0.0
jOokfKQZRPg,0.0
PddnCBYnD6Y,0.0
z-JcXzQVnro,0.2023
H4hPrUb56K8,0.0
EkRBr8BOakE,0.0
zgvFV4_JEhI,0.3818
-p8xNQ07_50,0.0
bi0LCH2Nt08,0.0
t6jyVkttUo4,-0.4939
KZMef8-i3yE,-0.296
aTxe7UblnRU,0.0
