video_id,sentiment
EeFg31H48VE,0.8271
Vdk1cLX8Nn8,0.0
Oz9zw7-_vhM,0.0
YQ_xWvX1n9g,-0.4019
EJzB_Fa27ko,0.0
EjH9GslMCB4,0.4019
mGlfFjcZFRE,0.0
XFfzjWCO-SU,0.7003
4dkl5O9LOKg,0.0
IZaTd0hDtkI,0.0
0pWTRsztTtY,-0.0258
G7OWIorSgwU,0.0
mrNOYudaMAc,0.0
Zmh_tJEpnh4,0.0
p_-gv1Om5Mk,-0.0258
Z0J2SePTdU4,-0.6486
HnA75TAD-No,0.5994
L384Cd427yw,0.0
vG0wryKTEzI,0.0
Axk2WtutbLA,0.7351
8St36RjHd2E,0.1531
_V0-HGMB8SI,0.0
YBTdDfRmcrI,0.5106
-IBEluAQgBQ,0.0
kzNfHalWGBk,0.2023
C6aeL83z_9Y,-0.3612
MT0je2KBNCo,-0.6249
9QWD59PUt0k,0.0
NNQLJcJEzv0,0.0
mIhpcH3-gHo,0.0
p88wT0jYyt8,0.5106
_pqsfDCqUug,0.2023
RX1BeDEcfaY,0.0
4h2-KIQIOvU,-0.5719
Fk8Skx4xUDo,0.0
I3JF74EA7VI,-0.296
wDtt24RxdLk,-0.6418
NQ14YZg7yUo,0.0
T5x7lyWPnX8,0.0
q_XhJ180Etc,-0.6597
VVhCcgnqmwM,0.0
dLYPcn1FVtU,-0.5423
0gbP5L8879k,0.5106
qHcXkb7NDno,0.4404
-o2xPaGiT7w,0.0
tjvnxYoT5Tc,0.2023
eDd8AxKZsNY,0.0
_VfAU5I1oGw,-0.4019
GpkXwiHa7Es,-0.765
QPhFQhVymv4,-0.6249
rDrppEZm6Gw,-0.7269
EpNYn-l2ap8,-0.1027
FzLwoDBQsUI,0.0
AxiI0vJPgUw,-0.8481
ZBgEoxD2nEE,-0.7003
kbfz7gTaQvg,0.0
bBKUU2_0uh4,0.0
NhHGcUaDKiA,0.0
sG_v4bb2e4k,0.5106
8KRBTfYG3Ic,-0.4767
iYmpYJ_C5ng,0.6369
D-t_yPrzff4,-0.4048
_noey_NmZV0,0.0
3J-p-ttmb8c,0.6369
1ssuq7l6VDk,0.0
b4DbFSXRWAg,0.0
1tN2x1IFvnU,0.5106
9E4tsoEIa_M,-0.5267
LLlU2LGqmKc,-0.2263
3ans63rSbJc,0.0
eHt7tiKu6Hg,0.0
MjsQMAd7_SA,0.0
ZjArSQQg0UY,0.5106
dgOGRVyO-TI,0.0
5wn5z5GyVUU,0.0
7OEhqIwJR18,-0.3612
Gjo1hlIey9g,0.0
fzH7Gjadmj0,0.2732
omv2Q_PQUZk,-0.4522
Q1-ZUNMheAU,-0.3612
hKHVYm23JMc,0.3182
Qzq6KW9dOQs,-0.5267
S9DaxBsuIAY,0.0
__eG_waPJ3Q,0.2732
ajG66r2U_lc,0.0
nrdOPOhRcz8,-0.128
2VJFz8Q2cKI,0.2023
as7acW3B2jA,0.0
n9UtOWNVOO4,-0.3089
uPlbBq9kiZM,0.0
RKL5zVNOHzw,0.0
XVoX8OPueTg,0.2023
CcmQk9mv5_Q,0.0258
cPiQPTtyQfI,0.0
rOo3-WoaPE4,0.4404
wOqJzJri8B0,0.0
ZMBXGuo2Gnk,0.0
pFRXGxwat_U,0.0
s77Tg34dQKU,0.4939
HrvnNE0C08s,-0.5719
O7gu_0yJ6hs,0.5106
MfqRg4BPAi4,-0.5106
b-hzI7F2Aqw,-0.4019
OuMpOLsfRrM,0.4215
6O4xvklv2xU,0.0
3-dYfE2TCiI,0.0
Sqc5XKiBnQY,0.7184
GlJmpnGwMyA,0.0
u-sNSjS8cq0,0.2263
qzuq9F9ZLO8,0.0
LAdpa0iJWtM,-0.6705
H79nRD80sK4,0.7351
t939XKGl7l8,0.0
GZFtVJJTW2U,0.0
K8Sc5khx5Nw,0.0
4E0WYW2xPKs,0.0
RAcxziflEdc,0.4939
pgTmpTnFoWo,0.0
4X4RlgK45mE,0.0
LN61jzaYlIY,0.5994
JVnIQVhT79A,0.0
m8u-8kQcM2w,0.6597
5dAZTvbmZZ4,0.0
peUF5SyBXJE,0.0
yOCuipBNsB4,0.0
WzXGjAhYNPI,0.0
SCBYcWeC-ew,0.2023
k62yN6Z8nlY,0.6124
THdFCgBwF0w,0.0
4ckFoPYUMlg,-0.3182
n-VBRaInTR4,0.0
sfW2TGPjBLA,0.0
Arvu-vVtZAQ,0.3182
luAXOfcg-dY,-0.5267
CMFaM2nJjtk,0.0
A6cx9nyhPDs,0.0
lG6554HrLh4,0.6369
cLB7u0KQFIs,0.6369
sZsbFkOjgcQ,-0.25
H-dSNk9zqh8,0.0516
4h3eU99dTb0,0.6597
qt1equGhkQE,0.0
BBryb-THJOw,-0.34
bp-LSmD-gAI,0.2732
NI1ztGlXC2A,0.6369
P-I5ctMJBhY,-0.7184
ABMf6QuoQEk,-0.2732
fW4TaB91SHM,-0.7506
I-Gri991SDQ,0.0
RDeCNQCXyto,0.2023
451V-lBLfuo,0.0
gSXYn4HFQlI,-0.4019
cn8QgznNFpU,0.0
0BOtwXTa3vA,0.765
_Z99COgONYQ,-0.0258
KsnvKyly0DQ,-0.5267
XWQCD-TYXhA,0.0
PbBft8SPpCA,-0.5719
BjS7c4PoHlg,0.128
2D6iqZLKhLY,0.3182
MudPwoMxjQI,0.0
cY9lM73ie0Q,0.6369
3MgXegC5eKQ,0.0
_LyfkjuWc9Y,0.0
bbCM_Y6wXnc,0.0
pczpvTI8pzU,0.0
tClwCAFppn8,0.3612
8K-xkPP7Hfk,0.0
lDbFLYAQP7w,-0.3612
1dZMHj1n3cQ,-0.4019
vey47Q2JqIM,0.3818
XCQOPsyp9Q0,0.0
Me4xQulh0rA,-0.7178
HPt1o0lxgx4,0.0
3ItNzYFh6dc,0.8625
HdeBqbiqm20,0.0
TYP8mEe8ils,0.0258
B4RB8chBNsE,0.0
FVDkogtYfmo,0.0
