video_id,sentiment
tfXWXNItF_Y,0.25
yc8EZ3kZ1zQ,-0.2732
XlxROGN_Nos,-0.6597
YXApkzwKIh8,-0.4767
IbTwormvAc0,-0.7003
8ceZU4X66yg,0.128
-7o3bVInA2A,-0.8347
ZCJJbDAWUeg,0.0
vhRo_jFKf9M,-0.296
G1y38N4LQiU,-0.6597
L-VslYnrVWM,-0.1027
B9SzGTjE9ec,0.0
tM1YC7fR4LM,0.0
V4v47Pm5U0Q,-0.5267
pBqRwvbT6bA,0.0
eG9i7d8yfKQ,0.4939
L_fCecVm_rU,0.0
Nsa0ar443SI,0.0
BN97OE-g4ME,-0.3612
uCGQC8sMpP4,0.0
IMNhc9YhBaQ,0.0
csOzHR86zHc,-0.1531
N1plntUzGuA,-0.7579
fIT5FIHxVFc,-0.0772
Xq-knHXSKYY,0.4404
fXqQ4YUXdwU,-0.5267
PvfmzI1KiHs,0.0
FWD65DJ3fug,0.0
7fyN9DdyuPk,-0.7184
7ilPv8R1TSo,-0.3182
zFUB_hcz_VU,0.0
5MJAvCqVIXw,0.0
q5xIoeG4uVI,0.0
XNRJOI4aOTc,-0.5267
GBXA72S5ADw,-0.4767
Fp5kbjap9l0,0.0
DqLGrcWRMWg,0.4215
QJB-tMCEBxc,-0.3818
MdP8R7YMiqE,0.0
JvJylGxq57A,0.0
tW-QtAgV3vY,0.0
HTQt8_hNTF8,0.0
z8y_l7IWprI,0.7906
NQ459KdYw0M,0.0
-6uhQ-D_0Uk,0.0
aV98-tUShjQ,0.0
N4yN3uYlglY,0.0
7JiYJR-S9tY,-0.4767
Qm16U5QBXys,0.0
z2BWQyiRXsg,-0.4576
pQW0xRgpanw,0.5267
KqCbMs5HzDo,0.0
nh2lbwQMsqo,0.0
XuAnoy1n7cI,0.0
ckwQ0WKq71w,0.0
ATu3p5cmDOg,0.0
BgZy-8q1aUs,0.0
yTAo1yYHRC4,0.0
20XeaOPzSMo,0.0
Jmu5t4tn9Wc,-0.5267
x7Tspg0lH9U,0.0
WbEzUrTZVcQ,0.0
aWcWre8suyg,-0.4939
hfLNGhmfuIs,0.0
T2HNDfuW0mU,0.0
CHtLVHUmfhI,0.0
zVRyLSt1TUU,-0.0516
88mBfhkx-Kg,-0.7096
n7zZ7xpy2wg,0.0
wtADniautYg,0.0
RecKjvC7BSM,-0.6908
sENjTuOWdaU,0.0
OkZOBVnEmaA,0.0
9EYdUkaJvd0,0.0
mTGyWctiPfw,-0.6249
KevSqUHvaGA,0.0
K_314o8Tab0,-0.4767
kdScehaW7dU,0.0
hb2fCgQWcXU,0.0
fZd9Y9z-OZQ,0.34
aPVNp76vDEE,0.0
EI5ZreAWcts,0.0
cWLKyXYv22I,0.0
-GZFHLAcG8A,0.0
VTsmsJQ0ouU,0.0
jHGFf7xxcF8,0.0
cvPmKQvcQiA,0.0
hv1tCielj2w,0.0
fqldnRb0lbw,0.0
t2u8pBsLlX8,-0.765
Gb5IVJV1d_w,0.0
Z72QS0fhwcU,0.0
9qUa5Mgz7Bs,0.0
JzWwgmUQ_tc,-0.6369
MkRCM6KGG6g,0.0
_omngI0Idzc,0.0
LFXwFsupCl4,0.0
DZm_aPiVP8M,-0.5859
pl7qqOMQHhw,0.0
SDT4-an18lA,0.4215
RJscAAjBaqM,-0.5267
Ye7hIQID3Oc,0.0
FyMtpH9nAPg,0.0
dE2N6sJmr1Y,-0.4767
tfuRSJgi0NQ,0.3612
H-8ZpxgE8cQ,-0.1531
_uPWJGUVu2U,0.3182
Gpm9bK4sEwk,0.0
YQpN88u1MeI,0.0
De7RDzTMlQk,0.0
pS3JlTpFbaE,0.0
wLSW-WWgipA,0.0
aU4xKI_byd4,0.0
neTMTZfpU5c,0.0
4F9IggQI0l4,0.0
f4jkpT2ozyI,0.0
r4_um9HY1jc,0.0
mc9AgfGp_Pk,0.0
LoSjdYS-FLQ,-0.5267
sPSquZmmxHM,0.0
8ODd4vZJAHc,0.4019
ywbuDTpCPxU,0.0
yll-_ghipIY,-0.296
GZ2Fl_P1JK8,0.0
OZVx4N1n6zw,0.0
6s1bphThQLM,0.34
cXkR17XRrzE,0.0
zf7kDRrLekc,0.0
I-NLbyaD11A,-0.5267
2KxbIfvGxkA,0.0
kVBVD6QnOSQ,0.4404
oTPaX7qdWmI,0.0
a6v-tOTv-pA,0.0
kKy8AaDW7bs,0.0
CUIODOnUwtQ,0.0
f6SHWl2dJcc,0.0
2iiU1Bfyvts,-0.5499
3SP3BqaW7SQ,0.0
mnWudJ1YSFc,0.0
gGBpk7K9i-I,0.0
ygAoxtswRfE,0.0
CgJlMSjPYdU,0.0
XX3FyHzRkTk,0.0
FcHtXMDfrQI,0.3612
ii6reCbVTJI,-0.1779
46KpoOht5cc,0.0
0sCN_W8Mbpk,0.0
eIJak1bmaT4,-0.3182
F8i2L8VZHzw,0.0
eu7Nigp7gHA,-0.4767
ho3Lh24gT6U,0.0
jsWwRBFQNHk,0.0
6Cdob36DHQ8,0.0
fy88IyovOQI,0.0
_a1QERFMtdU,0.0
huYeNQnvOk0,-0.128
4XJgAHg8Cis,0.0
Wz0ijT_ohFo,0.0
VxKaNdeJ710,0.0
utCDdubcjtY,0.0
9TMyM7BcRmg,0.0
uFy2JzE4Iqo,0.0
t-It2bGjB_w,0.0
QWyBtjqxE2Y,-0.8402
uVQlMUjOy-s,-0.3182
Np3_6GAQ3rA,0.0
2_ftk4ZrfrU,0.0516
c5zNebpR2rc,0.0
Hw3eewgInKc,0.4588
WUVpXW34QzM,0.0
0N5YRczTho4,0.0
AZ9rhY_S7H8,0.0
6szo1VGbhqk,0.0
k7epncZp9Ws,0.0
1jevBEIrl5c,-0.5267
ojW7sBT2Rv4,-0.5267
uYDsv4rOQjk,0.0
wP6gOD4XSr4,-0.25
ghOMzehgliA,0.0
e9wSoUauoHI,0.0
klE0nunoFA8,-0.8779
_JnPHugL7kE,0.0
hw3atsa-ogQ,-0.1779
0N2zWgXwWcs,0.0
iHm6d8B_PSM,-0.6597
CuQJ0ziC4ow,0.0
wb-EfMAfj5s,0.0
oAmmfwc77zU,0.0
Qt1eio7YFvM,0.0
egWoa-y0uOA,0.0
b5Hd21JCkM8,0.3182
y6Q5adoqWD8,0.6124
iohW5pcpOGQ,0.0
ElXCMT7OyNQ,0.0
cp0WeWgyoKg,0.0
urkBFDxPoZw,0.0
Qxk0PNmG9Cw,-0.5267
kZPXFO4CE5g,0.0
gblyKwiOlRc,0.0
4Tiddap8H14,-0.5267
85cWIuiAZyQ,0.0
BWWoSum7r8c,-0.4767
BjW917Dba5s,0.0
disC3agcvLk,-0.1779
UsNWCZIqAW8,-0.7906
yDHuv-6y2lw,0.3818
mtl47W0CR20,0.0
f7TuV_3amhs,0.0
GNkUbSkKVBI,0.0
b5IbgLOT2Sw,0.0
1OnPg9KMduQ,0.0
WJxcOp0tjJ4,0.0
iSAmBxc_9-0,0.0
NnNRzrtqmMw,0.0
aDIDtbpBPio,0.0
V_ZuYsT9sGk,-0.8225
nzupJDxvDC4,0.0
iUcOotasKTE,0.0
LjTS3J06r4U,0.0
zGE2l3-411g,0.0
EZWbeT2eqEk,0.3612
tWrcllQ8l-E,0.34
pl9KjJsa2Fo,0.0
0Clu6Vixl1A,-0.5267
ngKxQzirYQo,0.0
q3TRRU3kHkY,0.0
0XW7agjaXXs,0.296
BDW0AA3hazk,0.0
W4_Lwm4UuOA,0.0
oez7BoIEemA,0.0
pxCjTyIbFIU,-0.6705
FWcG-eKmrV4,0.0
ku81RzY5lRk,-0.5267
lc4AXNkFviA,0.0
7DxJnXKIyTA,0.0
_dIa7zisdCE,-0.5267
A-PpI8Xf6Ww,0.2732
i8hD9cDCwqs,0.0
CieOYln2zgM,0.0
giF9m8uwY8Q,0.0
1-k0TGfRx_g,-0.4588
z925NVUB2Z0,0.0
f7JRmcr4LbY,-0.3182
Z1zWONHrWno,0.0
GvQVWto5bPQ,0.0
WB3Tf2WaesY,0.0
yUzYHfxY_rQ,0.0
qu9hzlLEavw,0.0
nufCU26fVEk,0.0
r4dvbSmeDFQ,-0.4939
TWcTVFKcYXU,0.0
5kaurJNCprU,0.0
YJOxryXT6vE,0.7096
M5OVemfdU8M,0.0
MPOmfEvYiqw,0.0
FWhFlQXSnXY,0.0
_ffvUd0qoxU,-0.6486
SEfx0Qqfh68,0.0
BTyAg_2zS3s,-0.296
zDBhGs2EC7g,-0.4767
6l2Ubq4qqF8,0.0
R6h-YA5r2JE,-0.7184
da2bn9t7NBE,-0.34
5swDgN2RUCU,0.0
gF0UMYUzJO0,0.4215
X6dHjvrUYT8,0.0
exWlxlcnyQQ,0.0
rUVFHUdCdfc,-0.6486
dyJFKZ9sv58,0.296
R1EL0S1j5AE,0.34
U7DcaAm4deM,0.0
z92lmhujEbQ,-0.5106
-ud83ZwzDnA,0.0
XcuV6qTpyBw,0.0
8lNaPIYi_Yk,0.0
rfwj_SLsG5Q,0.0
RmalvUtKv80,0.0
J7ZA62ekO04,0.0
SnDyJVSGV18,0.0
v5bgksjNApE,-0.2584
dki4V8TUaNk,0.0
J1oMAcbzohM,0.0516
1j09_oJsTVI,0.0
ao-y9kK1Kn0,0.7096
46VTR2Pnf7s,0.0
M2IHvB2GGEs,0.0
m3qms6mOhQE,0.0
mt3V_jB2lNQ,-0.0772
w6x6ymyjCi4,-0.1513
C0IoMCnVgHM,0.0
QQGWY_t7UMM,0.0
-CshWez8kbc,-0.1779
ZmBuIIyvqio,0.4767
w6BFBLPgL2A,0.0
thvItYo6qEQ,0.4019
k6hi_ljYY64,0.6597
2sgBk2zQgHk,0.0
GK9CzbM9cFY,0.3818
zWhfYxlh_Hc,0.0
Mmf1u1zWszc,0.0
o2SaN2fv6Gc,-0.8687
eY6N2emu8bQ,-0.802
PUBtVWVta2U,0.0
YwjopTw6nlg,0.0
CxrRSZag8QY,0.0
g9OZyQCX8M0,0.0
D7ZFMWfGRv4,0.0
-R0dd3q1no8,0.0
WE8Fdnb--r8,0.4939
3thNf0JpfzI,0.0
jtsUzrGLbVc,-0.4767
TRXAshafcZ8,0.0
DsrZClEsDGc,0.0
WPziKdW6uqo,0.0
68euzuCQc0E,-0.4404
k6i1T78SCxI,-0.8042
aXx0ANc4aTU,0.0
Sno7PsXrXbU,0.0
JXqsEMIE9V4,0.0
8N8CxltWmgk,0.0
JcUKNFR9BQk,0.0
7WuYvclTkHQ,-0.6124
5z-to-bRolk,0.0
X49IUKt9CFk,0.0
LFLhJwJEMFE,0.0
XYUdS_3sdN0,0.7425
sD7XDi1gO10,-0.296
RLWVHCZ3j3M,0.0
W8tZxuygoh4,0.0
rTn8YuqW--w,0.0
JHniTFSIMWA,0.0
WdbVMCAUQaw,0.0
1voy8XRmiOw,0.8047
LlbpLYalX7g,0.25
vafgS0kvBMc,0.0
lTTesY6nlP8,0.0
inJOsi9i_pQ,0.0
yNo_mz1iydw,0.0
1fMGFrCcd-Q,0.0
4GDIeEmTmRk,0.0
QIrmoZs6Qzc,0.0
HFDOLTFySq8,0.0
a9SZRzSDi1c,0.0
SrJC-9P-qnc,0.4404
XrVdmvxPe-8,0.0
Vrm3jxXAvsA,0.0
3awBcm4ii9k,0.0
iJLHSPVX6pU,0.4404
tCcyPgvGA-w,0.0
XGAea6anKws,0.0
Ca9dKxCvyns,-0.9393
LguN19LoraA,0.0
NZiBE_9-4gc,0.3182
bEt-3KK5dzo,-0.6808
c0WD5vAe_D0,0.5994
53e2-yAt51U,0.0
b47cCTjLLSM,0.0
9IHVh4lplC0,0.0
WwndWEu040k,0.0
PIAzS1udO10,0.0
surPXPQRfew,-0.5267
5s4FBthVDNc,-0.5423
Vtj5L8-Cslg,-0.5267
_xWsH6XDFxQ,0.0
N4JiaTwHIDo,-0.4717
IShC-PUVrPo,0.0
PcStC3EJ24I,0.0
M0bAnFxe1Xw,0.0
8FyuhNCLuPg,0.2023
mSNvR9Ct5Ac,-0.6486
1vtWJjr_hPM,0.0
5hJSAR9CVDs,0.5267
W7w4n8j20_w,0.0
iSpJVS86KGA,0.0
Ld1Edn0xFyI,-0.7351
rsQPOkRXGJM,-0.4767
AsKPbeXJ4ms,-0.5267
F4LUw2WmR_w,0.5423
aGEpFYSALL4,0.0
GRaAgBcvyKw,0.0
gQwxhOG06ik,0.0
rqfjf9wuRwU,-0.5859
e9-SVvcmGoQ,0.0
vQlK_JpLRnE,-0.5267
p74tjBgHBgw,-0.6908
R1LykYZc-pg,0.0
yLkFqA14KeI,0.0
uKyImIeBVPg,0.0
g2hXPaKgYCg,0.0
fuLZGS5mKMA,-0.8934
qJoxZY7vlqg,-0.4767
tb3QKd4q7Zw,0.0
70hruQka2gY,0.0
jB-gPwz5ULc,0.2732
5IlsPDaepI8,0.0
iOCW7upXyTc,-0.1027
5mXdaRxnGkg,0.0
NfBCJylvo1s,-0.4717
rjop-va4V_M,0.0
9OrzGryYxGA,0.0
ktBbszmtGOo,0.0
2OrX0U4qwTM,0.0
gelWOrbrx_Q,-0.765
xYasBZaEZOM,-0.0772
6f_n_BKKpq8,-0.3716
tHF2xE8OdRA,0.0
73uRSEPdFyA,0.0
oSXcwSNxc8w,0.0
F90mc_a58rY,-0.1531
llkwtOYXU9k,0.0
epbu3RgOx4Q,0.0258
7-2AEIL3aIE,0.0
PdKImTOezvs,-0.0772
yTKTOvg6nc4,0.0
Ww1yA4a6Sgk,0.0
CJBCKMBQ6ps,0.0
rract7SRTFA,0.0
GU93pdXY_HA,0.0
FZpmS5ox0bw,0.743
7DKqP1F5cVk,0.0
ZnXt-JiDwYg,-0.0772
Sinfo0j1VY8,0.0516
29FQt7h22yI,-0.5719
6PLfyvhbXwE,-0.6486
0xggGnp2i9g,-0.5267
QqWFDAfCJIM,-0.4767
tL8S1erKLjI,-0.34
C49EF3WfUzY,0.3612
qCD2-B4li6A,-0.0772
JUV5DCFs_sU,0.0
2EHcFx0AlZo,0.0
CdBe5fL_GSE,0.0
QevQ5GzJysE,0.0
VSa3UJNG9no,0.0
eaCdYOjAyAo,0.0
gA33ZmYanIo,0.0
TSNR2v8BMbE,0.0
qWOGo3_LvwU,0.0
0Tj7p8CKfbc,0.0
pThsrUAEQlY,0.0
5cnT5amf6Ys,0.0
N98VWRrFteo,-0.7003
BKaRU4DxaIY,0.0
DhuMo2M_AnA,0.0
N_yIeBGto4s,0.0
tQe2_DPHRIs,-0.4215
RLHDv6J5XPk,-0.2732
h38em8g48K0,0.0
KO4Wq8VoQkQ,-0.4215
NFa6LYi1fOI,-0.6369
ly51MTXGboM,0.0
CarPoHcLEp8,0.0
8vjFPGkl47M,-0.5106
C20t1O1i-lQ,0.0
84A8Ns6qjz0,0.0
I9Y1L38GdpA,-0.5267
ILBKfvLSbPU,0.0
l8Ve5NUCcgk,0.0
FiZwrdg_WUw,-0.765
_Nn5m5Zj7kM,0.0
kpb1ZaBPURc,0.125
L0HPIXLeMu0,0.5267
Hm_LTFsZQoE,-0.0772
RT9StEi6lnQ,0.0
Qf84m8CkFVQ,-0.2732
29HNB7sSDjw,0.0
Rd8KE-BHBRI,-0.0772
Ow7m5TCZWmQ,0.0
kGGQn2bIWzA,0.25
0PO5MEBQ3WQ,0.0
7ZZNGfMuXYo,-0.3412
F_6WEyFa_Lg,0.0
nLSeHPW8Dz8,0.0
Vk3tfBobQWQ,-0.5267
kjp0r88gsKU,0.0
Py8bIwrqlek,0.296
mfUyIQwZ3oU,-0.4767
4DYjZ-n6xNE,0.0
NnWF2wadLQg,-0.5267
s1PDIedt0Cg,0.0
cw6OrH2mDu0,0.5994
KVoLeTLp7q4,0.0
q3wf4VD5t_0,-0.8225
WZDNF9qK_zc,-0.4576
CAYTiwRl2f8,-0.5574
5V-TCxErneQ,0.0
3enCDbErtuM,0.0
trRDnd-JVF0,0.0
mVhe40xSs5c,0.5267
D0byAKsqthI,0.0
Xxd3BTS2IgE,0.0
tn0kJNhurS8,-0.5994
DjM9uXwiZdg,0.0
9V-bYaJ6c_E,0.5994
cthEa-PzgzU,0.0
YRN1FuQWfyk,0.0
bQWLJsnQGFI,0.3612
RtVwsofODoY,0.0
osdJOo6YU_k,0.0
DeEq27Qhw8s,0.0
oqmPajVijtQ,-0.6486
b5h-SntATz0,-0.743
NXqPOsE6Xq8,0.0
GkGNj3BhMFs,-0.7003
o2CMIKPBEiA,-0.1531
fxfIVUEEU5M,0.0
UZhw3-F_x70,0.0
qKCd0c0cItI,0.128
i7X9H_Mf9AY,0.0
1vQbUKq176Y,0.4404
u99o6ME8B5c,-0.5267
mAGT1IUkuvw,0.0
H3hsLydyQz0,0.0
qA4YK75LaME,0.0
iFEh-6alY4I,-0.128
l-yRaO-xsdw,0.0
t-VYtaT0Zw0,0.0
Kmb60kGXWEw,0.5106
fzC-97yFcNo,0.0
9LQS2GShWlM,0.0
cTqeIN834UU,0.0
uF_sZtCAwIc,0.0
dTArBooU6Y4,0.0
KZD1Lm1fOIU,-0.4767
odBeH6kiVhw,-0.5574
S6ctDUqM4B0,0.0
L-eLlqs7eKc,-0.1531
MSQs_btg9CQ,0.0
-gahiKpoDUA,-0.5994
d2b6bWZ2ltA,-0.5574
dU-vsCQ-3kk,0.0772
cOyict-S9mc,0.0
bTnl3SfvBo8,0.0
NStDozn-4wI,-0.0772
EcJ2sgpMapw,0.0
JO4BCweqZx8,-0.6597
4zzXbLOhiL8,0.0
DVUg1-LY4DY,0.0
20Z4VzwGaHs,0.0
kiyo2XrAxyY,-0.7717
fojvlo_iqwk,0.0
5Pq2ECifWD8,0.0
df9gEFmMvBE,0.0
r00hbsHmUcw,-0.2023
6JfF0_Lc6sE,-0.0772
FPRqkd3evRQ,0.3182
2DhIJF6x_A0,0.0
ItiXE5EwsmI,0.0
8Z8j8YMMw-Q,-0.5994
O3W9Lv-KldA,0.0
vDjuEaejCIw,-0.802
2FGHen1TrdQ,-0.296
