video_id,sentiment
TWpjc1QZg84,-0.5267
IaxoIbXAcKM,0.0
KHeg9DDrjMs,0.0
YqWUuOqf_TU,-0.5267
JasyAndXUNE,0.0
_21O53If7BM,-0.7579
Hyt7GDovwDI,0.0
N41pMlW01TI,0.0
4ez5YLlSI1s,0.0
BESMxl9-P9w,0.0
4GdRSxhMRHU,0.0
7aT-Nb0nDeY,-0.7003
O09lwkHeEvI,0.0
tcGVxMFxySg,0.0
nEy0EVCRvdg,0.0
lpt3eDD3H4E,0.0
V1tQnU5WtTQ,0.0
gSKY4Oz9IXQ,0.3182
SEbMNuVrZMU,-0.7003
LMBstuNgj0Y,0.0
GbFFUFchspg,0.0
4NkqPCZtepc,-0.1531
2oPfcibMQGE,0.0
jXNT4SRkAE4,-0.2732
IYK4DkK7qeY,0.0
U_LKBtE3x8A,-0.25
zUbQlV11WjA,0.0
zqOezDycX1c,0.0
4KfSlN5PBpg,0.0
4qFbsDH4mbA,0.0
E2ta1U3ijc8,0.0
VT_rQ3yE8u4,0.0
bIY-Chq27Wc,-0.4767
Rban0JGEimE,0.0
oIT1I5oR08s,0.0
G5aA4ND7598,0.0
K1-EkuG0Wy0,0.836
Lt_ErglUdRk,0.0
FOaMSC034nY,0.3182
6Mm90mSC-cs,0.0
V6NNwjTYLIs,0.0
u-1ycx6-5uk,-0.5994
OjnLkhyi4KE,0.0258
6uPCXAy_B7k,-0.5574
IE87__6fPhQ,0.0
nTlhAOtoVsg,0.0
kR7bDkmgXOg,0.0
e5WinJyQsQk,0.4019
XfwlbKyjz0w,0.0
iJv28QTHpfQ,0.0
85nH0SjTGug,0.5106
Gr5zrrWUBWA,0.0
0b_eHBZLM6U,-0.5267
3-rsm1BeiJA,0.0
Rkmj9g6tG_c,0.0
Udshf6DMq5E,0.0
KxsqK7h6VZM,0.0
e04yGatkm2Q,0.0
3b9VkWDvbPU,0.0
oXooN1fBzmc,0.0
H91Asd5t0zs,0.0
L2QPUsecMTk,0.0
-KYGF6R4Dog,0.0
