video_id,sentiment
NsL25DB5fKk,0.5574
8k9WEavbluw,0.34
SdfFeqOZfiY,-0.5935
S64ZJIBaTgQ,0.0
INPDe049R4Q,0.0
JHfyDHwbSpo,0.0
7q85DbACGx8,0.0
-H4LoEIGVpQ,0.0
Cl-FhjoKGqQ,0.3612
sfo6YI1yiuw,0.0
teKmZkXHOiE,0.3612
Z_t0eO-62vc,0.8074
mfnZDPw6w8Y,0.0772
QSnqWB7A800,-0.5267
7S6Q-fpJoeU,-0.296
GzaaMfZBSv4,0.0
P1LJLWOGcZk,0.8271
7yKlbhpmDTQ,0.3612
UWHXyKP-Viw,-0.128
MWB2JIdANDI,0.0
y_LrnuwN5rk,-0.0772
9jcWGA5QCAk,0.5994
BF-SoY6X590,-0.1531
sKVSMpwjUT0,0.0
DY555kfrtUI,-0.0258
BuinSSMFxeA,0.4767
SSRBnFqeh-s,0.4023
nKFgoIdIpy0,0.128
YZstGVca-Ng,0.2023
iZvDZADf-jc,-0.296
YrU9-06r80w,0.1531
LNJg1JZpnPk,0.0
l_j2K1rZmhw,0.0
Olaw_n7FzVY,0.3182
z3jgYX5Jtbg,0.0
w9WbO03UZ8o,0.6369
oc_myJbZTHQ,0.128
MUNvZCrTqA4,0.0
S9KdOYeGTZw,-0.0516
zTSc83wx5wA,0.5994
SJmri_r7IJ8,0.25
8MMBntaIizg,-0.6096
S2c3AtRnORk,0.3612
TRi6D8eR5xg,-0.128
NmTtNhp1oJY,0.0
VH__hJsLXho,-0.298
Gq_pzaq9z_I,0.0
RzdrKNJiqFk,0.0
L7Ew0cc61ts,-0.3818
TcJx9PVEThE,0.0
_JotwkYHDhU,0.0
zBvdF6osgxs,0.0
n8QTBbodu9k,0.0
twLdo1Tf4Bg,0.0
1lt4nEiAx4c,-0.8074
Z43J2cG4gNA,-0.128
9qIp36RRk60,-0.3818
dWLK9GcvCtc,0.1779
d1ZkbsKH9L0,0.2023
a0DCQQozrT8,0.6705
pTSZH9pDyaw,0.0
m3Unvv2KwHk,0.2023
mI6EFCW97fQ,0.3612
U7Y5jJoF4c4,0.0
MHGGlYq6iWk,-0.128
UAJEDVLk1U8,-0.5574
BtGLy-UOZAA,-0.1531
_OPRrrB64_0,0.0
ajTAb7PhBvo,0.0
O8YmuvHn8Xo,0.3612
WZXwU3WphHE,0.0
zWvai45DCIg,-0.3412
0YuDuU_5ubk,0.0
TMqL9hTydfU,0.5423
2ji9lmb66ps,-0.3612
AD77FRdxQTk,0.6369
hOhw1ywSBP0,0.765
lxCntM0J7SA,0.6369
UbqZa09xYGU,-0.128
rrBtiXQsXXQ,0.8481
U6S-7vTvesA,0.2023
Rz9ZGm_yfAI,0.0
Fnx1j9F7-KA,-0.4767
3jNaApDurEU,-0.1045
k4m9oj-QeOU,0.0
aBCSp0o3SSs,-0.1027
M6R6uvQMPzw,-0.6486
UjxeYi5U4V8,0.0
ieHEx9Hjo-Y,0.0
v7UIhCsx_yM,-0.1779
dKojutdHuG0,0.3612
dssK0RyJ6Qw,-0.3412
U7C-XJpgFLw,-0.4019
yLgnkCvuFWQ,0.4019
m7oZ38Qg8Tw,0.0
ZeGva3KUkXQ,-0.128
qHB3WzgEQ7A,-0.4019
In0NfhC7b5E,0.6705
tJLKcLPiqLE,-0.2944
PRIi7OdklJc,0.2023
zNUh3kOBwYI,0.0
qxvQ-3ZoqgU,-0.3818
oayAEsJpPaQ,0.0
lWq27vLyJ0c,0.0
GrTXSV3PUTc,-0.3818
wwiFeqpeRRI,0.2023
G311WhrIkZs,0.0
9EBPG2nuiCI,0.0772
jSrCoLu5OY0,0.0
QIeChyDSq8E,0.8807
My-wf-Ipo8o,0.0
1HgZxUCTSnI,0.0516
_488MzW_cm8,0.0
-72PoHd426s,0.4019
kZsDXwGtFhU,0.0
us0WI7Y6In4,-0.4767
vfc42Pb5RA8,0.0
e_z0F3c1NZ0,0.6486
-qskIg9UF7U,0.0
oJcPQiqosX0,0.0
yQCREgz4tQY,0.0
Ucx_WyhzOcg,0.0
F9u81_vytOI,0.0
kYyPMEw4Bxg,0.0
52FOe38VNJA,-0.4023
A1I-UDd8x04,0.3612
ktWdyNiw350,0.0
1XzLXLDsIs0,-0.128
xqTP-k_2_U4,0.0
KqAQO4s-DU4,0.1779
G2PjCL1BBGQ,0.0
CSfVPAWjMtQ,-0.3818
05i-fDXPw2U,0.0
aOpY-BYZSQc,0.3612
dAute4t_sP0,0.128
A30gkBe_eXM,-0.4215
MfbLyWxxdLE,-0.4215
GUX1zKAmDkw,0.0
URsyaAhFw10,0.6457
-R43vUYxNHQ,0.4019
Cb6v1hJiSW8,-0.2263
PDeHt-xJmUY,0.0
_yPvbUXVh4s,0.0
NLErwA0-Zf4,0.0
qSG0kjMxVE8,-0.25
aQ-9IXLWH9g,0.0
jCMmkO6eW9Y,0.5106
5N9EEH_iDXU,-0.4588
3Mv3Mzq5Wm0,0.0
T_rb3iBp1n8,0.0
NL-TvECwXcg,0.0
IJqotxOkgfQ,0.2023
