video_id,sentiment
jzsiDRP5gXc,0.0
DA4qLxU5ZVM,0.0
u8Gd9MJsnnE,-0.7579
rYMIozCKxGE,0.0
bsN96zE8FuE,0.0
gufvLjAQsQs,0.0
rkniaZtlfpg,-0.296
VGrfN3v5JL8,-0.5267
lrfeMqM603E,0.3612
nbmMwMQEK9Y,-0.4767
GS6BHBeqdBs,0.0
YTaxl0tvbqk,0.0
rZN5vSbhsRU,0.0
iv7BvLBz8MI,0.0
q1fdIP_KyL0,0.0
qAp7n2uc5bE,-0.34
gMcJGnypBuQ,-0.2023
b74F56Unc9Q,-0.5719
ynBQvMESMvk,0.4767
tTeRofqTdlg,0.0
Vol30dTcOQQ,-0.3182
VTeMFnhJjWw,0.3612
IrJ-UlN8sPk,-0.7506
xVx7B6o0Fno,-0.0772
-3ol1aUN_Go,0.34
aE9mTr2uI10,0.0
HTK6WB8qOSs,0.0
ic2C30ElCSY,0.0
E3_euRauzwo,0.0
KBnsuTcfWeQ,-0.5267
flhGGq3TASo,0.0258
ift5nxcSrII,-0.5267
DRqUQjyCXJQ,0.4588
rGdm386TRnY,-0.4767
prXpsfTa__0,-0.6249
JiUxGeYBS4U,-0.128
obCgE_6g21s,-0.5267
ceeuHC_xPKA,-0.5267
atLs7UAzytM,0.0
LhYZfh6aqls,-0.5267
Z6cSu9oT6fs,-0.5106
pkjZl-3nA80,0.0
eh1LHbDXMQQ,0.0
IvOFVzfc-k0,-0.6705
zfcB2q0_hAI,0.0772
hGP01scixAI,0.0
ty7jrPYhdN4,-0.4215
nCrZcmRoNZI,-0.5267
4lg6cZmfpeM,0.0
_iQsr3Z3Xx4,-0.5267
_aWKftVlHac,0.0
jf6V2CYhKvc,0.0
kaxFSYlqKlc,-0.5267
1ac9wj2ZVRM,-0.2732
zxBchA7mrLE,-0.25
gpu4-GBgsBQ,-0.4404
helPavwg0-c,-0.5267
CPj_Gk3FlH0,-0.4588
upXofFy8xrE,-0.3182
E5a7CV8U6vM,0.0
2Q_FGJJWNHI,0.128
EZcSWCfbB-c,-0.3182
NuDmm39p4wk,0.0
AUgQ3Mq6oeo,0.0
z6Vo5uav9as,-0.7906
4w62eh7WTNA,-0.0516
JE2YphT9UAU,0.0
erc2WSYRQHw,-0.25
VypJ9ntnJps,0.0
Z4I72iI5MHY,0.0
Zo913kHDoEo,0.0
NjBi93thNFo,0.5994
Yqfvka7QDO4,0.0
W9FgIN-Kijo,-0.5267
QKwrhnh3Hj0,0.0
PHWEhGeCXaM,0.0
A1IDYHEdZpE,-0.5574
jOeDnvxYgIw,0.4215
929viHEzCEY,0.4404
hOkKkH23pi4,0.0
3hybkzCWb_w,-0.4019
QHOK_9hWU5U,0.0516
65q8J3Q8MlU,-0.6486
2rpkwnVgPNU,-0.34
AhYRHif-U8I,-0.5267
UAWhOE1PEuY,0.0
nbNXMx_xqs4,-0.5267
FLPLeig95M4,0.0
sqtVhQY27jc,0.0
US0Rfav2qBA,0.6369
Upz4oo4cDfg,-0.2732
4XTZbYtwZJQ,-0.5267
66vEd4bt9SA,-0.2023
dowVuV05xlo,0.4404
fjnu5pj1Ku4,0.0
y7YPZxqJDYQ,-0.7783
_m5twZSHvZ4,0.1779
evqRMVW7lvc,0.0
bntGdNFAAAw,-0.6124
_7FWr2Nvf9I,0.0
K_qQuZkodNQ,0.0
2qrpfHIpnqk,-0.5106
m6U-5Hck5z0,0.0
ZiBaXCyObsg,-0.7717
UGYO28tOB7Y,0.0
qkfDYt-9W58,0.0
1SZnybNvfFE,-0.7351
bh5DklX-N2Y,0.0
35Wi3Gm2OrQ,-0.5859
8_fn-a5qmxY,0.0
rEFzB6Lb_DI,0.0
Msyp_dmsZRI,0.2732
PYZBxH4I_GA,-0.5267
mTqkygZ-Zsg,-0.34
IKXoJ6UqsoA,-0.5267
cykveQsmO1M,0.0
Vuh2AeO7ziw,-0.296
dayJDrRdTEY,-0.3182
_Zd75jXaBdA,0.4939
nVZZ1cUYAmw,-0.25
O1yOqtbWrdg,0.0
FZAcHk1d000,-0.7184
XlJXKe4fcDE,-0.5267
WtgNCo4HRu4,-0.6597
ELntKgrMAzs,-0.6997
tmQEBFYrEx0,0.0
a9YRQaIUNHY,0.0
AOwWXYfcrEc,0.4019
GNI553Np__k,-0.2263
LU3afdtRCqE,0.0
N3zujKdhH0U,-0.5267
ExPt6yPfN_o,0.0
QQkID_o8U3k,-0.8591
AFPIZrd3iF8,0.3182
fbWq1FXdhtg,0.0
gyzbHFYs3pg,-0.8176
DC9cojCs-nk,-0.2263
43diWYSoERw,0.0
Emo_pQgwfkk,0.0
sO5h_M6dn6M,-0.4588
O9hF5Yo1_Rk,0.0
3q1wOBVLJHw,0.0
WrZheAFpqLQ,0.0
qQbACnrgc2o,0.2732
YfJq1K20YZg,0.6486
oesJCQdkblQ,-0.5267
COAgIT61NjA,0.0
U_Pr7lS6zU0,-0.5106
Glwk8OskVAU,-0.5106
RSu_XYXSgz4,-0.8442
8emVCG1Jrnc,-0.2023
r3rVGrTknIk,-0.7845
WN5u1T4iXF8,0.0
AaB-XNwi1PM,0.0
HaSTzSIBgwg,0.0
LyZl8omsmn8,0.0
awLgMJeD0Os,0.0
7e2dmzJd7yQ,0.0
7qlJMEUSSWU,-0.6908
RLAL0rAD1TM,0.0
bF6ExHfRjqk,-0.6249
Yb7YTarMtzI,-0.6486
a_dMDE-BzNc,-0.5267
W-2LLrq4SdI,0.0
xHoJbgl9h_w,-0.3182
oi1StXx1p5M,-0.5267
bLOW1RvLQHo,-0.5267
JovkktIip0k,0.7096
m9F3ayPoDIA,-0.5267
L4DkztDjlak,0.0
enyep7yAKxY,-0.34
OvPrhQ_0GfM,0.0
_VJG91FQpJ4,-0.2732
1Cylk43dcVs,0.0
yA4NgY3T6fA,0.0
qUxkONMfW6U,0.0
kgp_4ThZ7BE,0.0
trB06rINhKI,0.0
Hs7UZ5y4L_8,0.4404
dz9oI7ugqRQ,0.0
8XsaFuEXRV4,0.0
GtSQvYlLweM,-0.4019
-4vb6UWhf3o,-0.4767
utNYSivVlJ4,0.0
agrl6P5mWT8,-0.5267
wYDMTCqZ0XU,0.0
isucCrzOh3M,-0.6597
IvCDqvthiCo,-0.7717
d-IZwugU6NE,0.2732
PkvDJm_4Pjo,-0.6597
uhibVl0m8FM,-0.34
G-WCG_T9-bo,-0.4939
J0yqUUTiYLI,-0.7845
VH9ukM11INY,-0.5267
4txKoYKYvHY,0.0
WiM_VlEnFpw,0.0258
6LFnQ56U7Jo,0.0
-J5rtcJlmz4,-0.5267
nsF1HczPhxE,0.0
tpRVWeMsoaE,-0.4588
hcKWSqDbxUM,0.0
bRp_W-VGw5s,0.0
indnwMwNF6w,0.0
lbZAJLeastk,0.0
3cNmMygIcX0,0.6249
vwV-rqMmQtE,-0.0772
QMb6f9EeBWs,-0.5267
dPKkBk_xpbs,-0.6808
ZwfOZB9IWx0,-0.4019
uul5qjtDzEk,0.0
KPSu-Jolq4Y,0.0
9R5TvLCsN-E,-0.5994
M-0pk1MuWao,0.0
0tCYt4VteJU,-0.5994
7LsYUfWL1Do,0.0258
Y27t-yWgjGk,-0.296
9YP5LBhiwL4,0.7096
GArWVPo-86s,-0.3818
v-KrRplQZMI,0.7096
oo3g6-JXGKk,0.0
8dEmoV0g-Aw,-0.5574
GcL1ztrN42A,-0.7906
CeVqt1Umiko,0.0
k7dK3Qd4Xsg,0.0
MSs5PsapMYY,0.0
TCs-nVQcn5g,0.0
eAiTFdiCeuM,0.0
bivSQ1zd9y8,-0.6597
itpMqWZdNC8,0.3724
y-w6caES8Fs,0.0
6cHMzWTBDxU,0.0
JHfA_1bey0A,0.4939
o0qW954JGJo,0.0
gqZ361LFN-E,0.0
cR00neuasbU,-0.4939
MBKolZ7Fb8Y,-0.7845
C6kisopf54M,-0.5267
tJgwZa3IxPw,-0.7783
rG5WbN_0z2M,0.0
XQ1cJrGXe2k,0.0
pBEH8appK-Q,-0.5267
xqeIRi3XDo8,0.0
2ut4HYHkLjQ,0.0772
