video_id,sentiment
DvWE-sekrDg,0.25
DsWsALacMCs,0.0
9HZj8Qp4p2A,0.0
DBVVkW7bEYU,-0.2263
nELEXC5Zuh0,0.4019
UVob8FMT6Rk,0.5574
y4yeroE4Ar4,0.0
YQq82HrINhU,0.5574
wOvvBWSBwU0,-0.2263
K0bk_T1Lzu4,0.5574
cRAlc0NrlNQ,0.128
DbWVUzlNuDU,0.0
QES50-EGzFI,0.0
YNY28dmz4vk,0.0
BptGmN1LQJs,0.0
1lpMEe08NzY,-0.7845
Y0BAwW_Ys7c,0.0
InryKPArdnA,0.0
weRVOvLXvok,0.5574
9xJp0X5mhs8,0.2732
cWE2dSdz9V0,0.2732
_1kM0LA9G7c,-0.3818
mLMp-1NdzR8,0.0
ysttQDj7sbk,0.5574
1AlTP-ttMFE,0.0
5izElkNHdNA,0.5574
ULm3qyI8M7Q,0.5574
qJMPYZm4JBA,-0.5574
UFuV3OkwDrU,-0.2263
hewFLemljQE,0.0
Tf_18htNNsE,0.5574
L5ph4qAOQZk,0.5574
fl4KtQdftwE,0.0
26YLx8n57FQ,0.5574
U4tdd4XF72w,0.34
aOwsZ7I2ADo,0.0
A1vc_GSGNzs,0.5719
RMgGwFX2KEs,0.0
JClYHBbPf5g,0.5574
sBbnzkr6MXY,0.0
e8wD6iruwxA,0.0
HgF7OmNHwKc,0.5574
JFqglNsZoj4,0.2732
hcRAM4rxmtM,0.5574
J0hQX2mDweU,0.0
OUApOBZWWh8,0.743
CVODF3dHfx4,0.5574
9bo_dxNORws,0.5638
1LOs7Ijxa20,0.5574
1x-Ql010BxY,0.3818
ng0daBrWsCA,0.5574
ks1skEKwlrk,0.5574
yCpkoav3zK8,-0.6808
FsVvIVHEKyE,0.2023
hCXPiIA2Dig,0.5574
unmKo1pOb0M,0.5574
V3poeFdzJK4,0.5574
XLbY86WqEQE,0.5574
LDafHP4pjD0,0.0
s-rwUI7RYhk,0.0
5Nr65lc1ys8,0.2023
soIkQYtJAVs,-0.5574
ZcXTL8Z2dSc,0.3182
Ce97VpOGM4A,0.5574
6aifEbNDcB4,0.0
pD3HFR6g6ho,0.0
CxLWbCuR9_U,0.0
6aVXRGsZfBQ,0.0
-ML2se0-L5Y,0.0
iFcNXujoRDM,0.5574
FOEuywoieUw,0.4019
G6XWQ7aMvr4,0.5574
v0PH1EaFFug,0.1531
Oh-1JdbzdS4,0.5574
uGLyNzNCO_A,0.5574
ByzXbQqy2Zw,0.0
MmYQ5Fn2K-4,0.3612
1J9bmDGSsAg,0.0
fMZ3u3TLit4,0.0
Fwc009Eho7Y,0.2023
HxE1z735EfQ,0.0
TmCmFaoYVcY,0.5574
Twb_v78C1q4,-0.4019
bSTgXPwIx-0,0.0
A3W8HPC2hL8,0.5574
W8zXC_MffXU,0.0
kPx00JP_mdE,-0.2263
zdLIZf96YcI,0.0
ZdG5l-lfSZw,0.0
D3pF5FhOmKU,0.5267
HN2FrO9n_C0,0.0
k7LhT5Xyg1E,0.5574
uzk25sv3D-U,0.743
3_gcSFR7c4o,0.0
kvKny4STyHo,0.5574
SYs92yyRgzY,0.0
cooUnY3B6uI,0.5574
Odh-m1BcOOE,0.0
eMh43GhLdGc,0.5574
R7CGo0LWsJo,-0.2944
gmMlR_KOJuk,-0.5574
YsE13XrsCqA,0.0
rHrxSUgLvvA,0.0
