video_id,sentiment
BmLfcwcVQvg,-0.5423
HfVQ1-JWVD0,0.0
P0XlP2Bbei8,-0.4588
-Fb48tivB-0,0.0
Xvu-_PnV_3o,0.0
MitqjSYtwrQ,0.6124
Xz_UD3A2pQs,-0.2263
VH4kbybo60Y,0.0
AUZ0Fx8YMxQ,-0.2263
k4guyXCop9k,0.5574
I5P3Z_TW-O4,0.0
uD6AJGcn39k,0.0
uyicaMSxlsY,0.2263
oD1IOFEwbRs,-0.3412
uIuS-48tSpE,0.1779
sm9HzBe2uSk,-0.4767
XvM8bgweH74,0.4767
E0v_idyvjco,0.6124
Z8FZewEPAAk,0.1779
FQStbwNCl2Y,0.0
hmoAX9f6MOc,0.0
g13t6ZpwGVM,-0.6597
DSqvNV_zf28,0.0
OVrAO60hGdM,0.1779
Em88jzZGPEA,0.0
EgKdyHcZJcs,0.0
e_8Wojkl8Vo,0.2263
cvehhXaFh8U,0.0
gXH7vytxGus,0.0
6c-4A-gNqS0,0.0
j6eFvbPhuxg,0.4019
27qjn0v4Av4,0.0
ypBNGdCCOmE,0.0
3ZoFp4kq1lc,-0.7845
6uNyhReYv_A,0.2263
iuJJuRpmt6o,0.0
-r42_UzbGWU,0.0
ebeV5uP88iI,0.3612
f7VyJKVBt7g,0.0
v4N0u5wZ1pI,0.2023
iY_lxlbZTBk,0.0
64ldCZcnS_Q,-0.1531
54mpqppLr5I,-0.4588
7B8Q6D4a6TM,0.0
U-j8x1gUbUw,0.0
9GxY7SgdvxA,0.2263
zlooI0IPDcY,0.0
NT83EVhzSEo,0.0
ZxUC246dEp0,0.8176
t4AYUQnR6Is,-0.34
cy3I_Aj560o,0.0
sHqiG_hrbsc,-0.5106
y46x2UnPGgo,0.0
jTmquAAj8Dw,0.0
9_MU1I7xKyo,0.0
v_v_SIPgGag,0.2023
xH1S9jgkHo8,0.0
0Ik_XG1Fj5k,0.0
HbQZ7jAvgoI,0.0
6MYb0rBDYvs,-0.1531
StZIMue2bFU,0.4767
d04KTiB_Anw,0.0
k2WwkaDFWDE,0.0
437k3pwNNQc,0.0
Z4LteRu0_cA,0.0
NUm1OqJaZhQ,0.4215
zSQ3iuuDN5E,-0.4588
ihkEf1Tk1e4,0.2023
nqW_YEPnYZg,0.2263
uhTkjgoFtq8,0.0
mgw7M-JABMg,0.0
Sl4gM69bZUg,0.3612
p6E5EYSXmDQ,0.0
usryT1v-EzQ,0.0
3EcuDfDjUd8,0.4767
d4GnXTwEZJ4,0.4019
t_sArut55nc,0.0
LeKYxo8c8_I,0.0
eaXobQFxb84,0.4927
FLr_W1DLduM,0.5859
URz-RYEOaig,0.6808
YgQy70_LPS4,0.0
IdjdNgvF42o,0.0
gUl-WHAL9qo,0.0
W2a94gTP8Lc,-0.3818
d1RjxEBWqLA,0.0
RVtnsNDXuaY,-0.4867
Jeb6Pf-DTq4,0.8934
vrs8Ljv9J6s,0.0
lrYx7HaUlMY,0.0
XYBx__4iAUw,0.0
d4UPLo5u2QI,0.0
bJw3s85EcxM,0.0
bEzIEkjSSJo,0.0
2HFlEapUGbY,-0.1027
pFJi3TopgEY,-0.8658
Mh8w19P_IG8,0.4404
i8Yh9QgEdFw,0.0
o0OzzDGlFYE,0.0
I1cw8J9hsn4,0.5994
y7D-JhtAQpM,0.2023
ed78dYHQ9eU,0.1531
5k7-GX01Unc,0.0
VKW39dAEOak,0.0
QOOw2E_qAsE,0.0
YMRnuR-5k-0,0.0
K1hcl-iyHP0,0.128
yLf61FrgT40,0.0
EAYiyyUOwDg,0.5423
W29PQq5QnTw,0.5859
RsGX33cDQ_M,-0.4767
pvRYamafT0c,-0.128
2VBaFEmKa68,-0.34
OhmoN0wNKAo,0.5859
uBQjOEQhB3k,-0.5106
w9fpOY3ZJv8,0.0
M_ypQSUq6bc,0.4019
lGHtoBJMcgU,0.5267
tTUuiXJfxqI,-0.5574
6RnKHeCihBY,0.0
CaO-krc5ZRM,0.7096
Twd5cE_-rFQ,-0.5777
IsnRJ3YxDSk,0.5859
tukcaqEpGYo,0.5859
4BcsPDn0yf0,0.0
J4chjpmYiow,0.0
XPLpY57rUoI,0.0
7cf5JuJ-tdg,0.4404
EVTYhfWr9u0,0.0
HnP2yjqrZDg,0.25
wzFNomiBXVQ,0.0
FhpaeuPFpOY,0.7964
xmP2ZAT3obM,0.0
VGpNcwFagBA,0.0
iOltxADOJ3s,0.0
_GClBGYeWgk,0.6705
DWbxIFC0Q2o,0.0
eHE4BV8f5To,0.0
bjJC_76ZY84,-0.1877
GCjsFMuVpiI,0.4019
N-1Pl-A91p8,0.34
x8W83QvFY0E,0.0
I75kfAVF64A,0.5994
SvP-oYv-_IY,0.7717
lY9IxBuGkXc,0.0
75d2a-D-jkA,0.0
1qjKuWny2Kw,-0.5574
3mm_mMf90Mg,0.0
AvQNS7mACGY,0.0
vGE8OBNbwFU,0.34
WHyWF3eUUXA,0.4019
gZYIZbsg4PU,-0.4215
XhE_NzRWsQU,-0.5423
r5M8OAmrIFQ,0.0
gh29BgWCGYU,0.0
aHrI2dJlHYE,-0.5574
jyoo0kcgJg8,0.0
FsbpS9fuGfA,0.34
