video_id,sentiment
ucPoLHSav7A,-0.4767
QajOO6zUTW4,0.0
graevR96sqk,0.0
ZXCXT57Swww,0.0
rzUASFzT_2k,0.1027
tqb2D3SJiZ0,-0.4019
vrKsTQpUp8w,0.0258
KYgoX8uWasE,-0.25
IHPL_Kp-9RA,0.1779
eK83QqbNOmU,0.0
SSTnN5bFyBk,0.0
ZyLCT8F4AFs,0.0
CRjqSPSkNEo,0.0
_8ZcOWYsE7M,-0.1027
x4Vxv9e3qW0,-0.296
D9zo-NucuXk,0.0
tgWl37892qQ,0.0
4Dp71M9guFI,0.0
uXniD5SBX7s,-0.5574
qgJcvTZyUng,0.0
7ASgDL8Dymw,0.0
BxNpCIMd-PY,0.0
TxMx25OnJ0s,-0.4939
SpFax8EojrA,-0.25
yDGSRr5xig4,0.0
Y_Xm6u1ihUk,0.2732
tAG0DBO9bjA,0.0
NJReJNNzh_0,-0.25
VKkeup-ZNlQ,-0.2732
IqH5zAHaRn0,0.0772
B_61BlBCTpE,-0.3818
LT80RvFZ7T4,0.0
8LLtwkh3rbQ,0.0
gWXQ2Dv-PJY,0.0
wr_hxM_t03M,0.0
eFCPsLCL5Fw,0.0
HncSgW7mMy0,0.0
3QDB-0jGKCI,0.34
EnfFgWP-XCs,0.0
LnjY4NTWxTc,-0.25
kIF9IWndLMo,0.0
3UwtCFh7SAc,-0.5574
E5D-cwxuylo,0.0
_MNcQoxYVDg,-0.2263
jMOMq1_dMkw,0.4019
Ait9LO5Wv8g,0.0
ZN7nRgtX9r0,0.1779
iBK2m0ZI9Sk,-0.5574
bjAPtBOAulo,0.0
bji7HoGUd7c,0.0
tX3Pl5Zl6O0,0.0
IMmVab5y_zM,0.0
377UvhOxL_s,0.0
cAxShqL53LI,0.2023
n45cE6qOc7A,0.0
RjuA4okawaM,-0.296
bao62zIJOHY,0.0
pxjRozjul0o,0.0
6WAUiSGDVBY,0.0
f7l5Bi-Q8K8,0.296
1_6gWV0p0no,0.0
4HsgKF2hagQ,0.4019
zbkxwt6bY_I,0.4019
eBO6Tzjbq3A,0.0
AE3wlNYN5i0,0.0
Wb1O2s_xyJI,0.4588
Zp3h_N5Y_18,0.0
jCU5C4SrIlI,-0.25
wKgWUMyEr7A,0.0258
M3xZFcySAQ8,-0.296
-d9qUqHCvDg,0.0
cqiPhpPeFVU,-0.2732
FYtWiJ0giAM,0.4019
jwCh9EkuHVc,0.0
4G3Hwohouzg,0.0
riIMqapAxfM,0.0
6A3JPkQ-myc,0.128
EmuXrM2JAvI,-0.5719
R1x3wbzH0zc,0.0
A0l_I--7NAs,0.0
GPCb4dj59tQ,0.0
Kt26szxRNB0,0.0
isr51ZmuJwc,-0.7579
cgIIfnKMY-0,0.0
hItMw3DqUJ0,-0.5574
yzpyq3LXTx0,-0.2263
Uw5Lwak8gXY,0.0
WgvtobJZGcQ,0.0
YQWm6pJ07mA,-0.3818
f14K_QSMVZI,0.4019
1h5P6JpybYA,-0.296
27JDxX9sK6M,0.0
zgVo9i-xgwo,0.4019
tm3txJgv7Pw,0.0
wppZ_Vp2hWw,0.0
H6cu-OWWj_c,0.0
I08PteHptR8,-0.4215
xFlY64qUaZc,0.4939
emollluRyXE,0.25
eS9en21zUQQ,0.0
hUJYWEpIwJg,0.0
38_qGkKztFo,-0.2732
RyV17K7fYWs,0.0
D8DToL43y5I,0.0
yl7fE8cMVXM,0.0
NGFheLIZqjM,0.0
nVtTbrpKKVM,0.4939
pIFfZyoajUQ,-0.7096
rErC01cC0IE,0.0
BrWyZLGTgbg,-0.2263
3yGEOWQXxKw,0.5574
1Mhh1Cw3WaA,-0.4767
bLSpeT7j_RI,0.0
qHg1JhgUSBg,0.2023
2n1rc1cX_3M,0.0
LhrSXKna-og,-0.0258
I2SdASMISEQ,-0.296
W-iy208c0L8,-0.5106
PiqIsmNlJGo,0.0
HkBHezHrXk4,0.0
c47SnqnFj6c,-0.2732
kKjJweLxMxk,0.0
KnVVvAyyXks,-0.4019
um6h1tZcnxI,0.0
BilSXcYHnUE,-0.25
V-hLUt-3z8E,-0.25
CZnIweGi-go,-0.25
pINpKmDM_yM,-0.25
M93jBn6awHU,0.0
Ui_4qI2ereU,0.2263
q7b7x6i8xII,-0.25
AzK4LwBKGWs,0.0
-4hj7fgs280,0.0
CqumUAcrtXE,0.5106
zGyWBpMUIfY,-0.25
bNe4dGye7-U,0.0
YxtXj6J1Q74,-0.7184
