video_id,sentiment
t4QQTfIvzv4,-0.3612
XlBUfZYzeM8,0.5106
ZR7Z74UY2TY,0.0
puNieGCEAZo,0.0
loiARpb_cOU,-0.4939
gWpeNZQ9dUs,0.0
ZqNDsBjdS4M,0.2023
ibs8k6DwNEo,0.0
qo_gZUXmy0k,0.0
BPDPSL9PlDU,0.6369
SIkM7TaCByk,0.0
RMYE1gNZQdk,0.0
CBh4UvL8Kmw,0.0
FU2yuHjOgtg,0.0
QeSeOrSSwQg,0.0
ayhxxtHCqrI,0.0
s-rhXgcHzsA,0.0
JkWmaXtMbDY,0.0
0EupRH9K5y8,0.4939
dA29PmC7_Fg,0.5719
3xBuTs0B174,0.5719
1_-iyzpQY9s,-0.5267
aNWaFxIVbQM,0.0
nBAVV8F_bBE,0.0
JfxyakPvWvA,0.0
K-fkotC_Ndo,0.4201
C_yxhmenP78,0.5994
x1PemKr-lmE,0.0
_hdp27GyC2A,0.4019
HU6orSwBtco,0.0
lIUWTQfuHwA,0.0
TLrLaoJm-ag,0.5106
Psmezmi9AEA,0.0
XZALLm4ur7M,0.3612
w_aVEonbNa4,0.0
x7vgoV1X0Uw,0.0
rJXYK6wEACQ,0.0
p8rM3-2KETA,0.0
2r1ebo2tp_w,0.0
YNilaLh2Zuo,0.0
pYScyAEgDH8,0.0
BsoU_jJTOTc,0.0
N-9wp9zyP90,0.0
8YEfg0gCm6M,0.0
11Pw_fi2TOg,0.0
TkuIh1B-RCE,0.0
tCIYxn5vxis,0.34
W1nBeHarfeY,0.3612
FiYBSvBRyUA,0.0
4HFBYciIfiU,-0.0772
aR8o33eeZto,0.0
JIiHIEtVnIA,0.0
6BluRg9nRho,0.0
sqE1Q0i9NCc,0.0
zkNsavFLIds,-0.0516
PGOSTnyFo0I,0.0
53_CwfdBBpg,0.0
ZfAS4fSkd6Q,0.2263
dedk5Q8bwJ4,0.0
i9ANdxrcBR0,-0.6249
uiqj8XvJgNA,0.0
UFPxOpJw_eI,0.2263
IZ10AyhXImY,0.0
ro_U3tS93_4,-0.296
j3eRAGKVLys,0.34
nUnS0vmVRqU,0.0
PKRajxPvv0A,-0.4939
wapg3iJE9Es,0.0
--8ayeKLG0c,0.0
m8mmC3tyQ_I,0.0
rzATsR_Qdow,0.0
UsKMpF-mjsg,0.0
hIw4SEZtN_Y,0.0
2ucBTKaEPMc,-0.3804
h-EsSUJZ_k8,0.0
q8xSdySw8kc,0.0
x73D5efpCkE,-0.4019
l7ghFUOsK7U,0.0
djIo83rkj3M,-0.6249
Y2jmDBtSzy4,0.0
p6t1QgUfPcM,0.0
UHs3NZMO6e0,0.0
Me1SZjWBuoI,0.0
OJjh4LX_4Ws,0.0
YYsYgNz58Kk,0.3182
UcZMMR9SK_w,-0.4215
2N8x28k2Lhs,0.6369
cpbc-h1ECCk,0.0
Bwauc6vyWw0,-0.0516
Z1eM_iX6m8U,0.0
Sg_jQA5M4kA,0.0
ARfMk1rZlto,0.0
yNEAOGqDe1I,0.0
suXoGll3JMw,-0.25
AVyiv6eJWq0,0.4404
tXCB5ORsp_o,0.0
B4hlggILsuY,0.0
5NqN5rbzh2I,0.3818
WA26ItyG3Ik,-0.4939
IBl15polpp8,0.0
3Nss4a5sgSI,0.5719
wzAJLKLNE9k,0.0
_DC8g_NxwmU,0.0
Gh0tSwtSpcY,0.4215
3oPjNV5ClNI,0.0
UDNfL24OkCw,0.0
F4U9aGYrjcA,0.2263
jmkT5DWqwUU,0.4939
wX0HXGo0ZDc,0.0
6jNn5O4YBjU,0.0
7XrymquihYE,-0.5267
YexPhWxsxVo,0.0
FTzjdK5mH_g,-0.3612
YWZx4f2OCfY,0.0
cR9XzTCHMrM,0.7269
3zPEj5xV6PM,0.3182
yxG-81Ipgz8,0.0
NhAaewMMKmo,0.4201
mn-YP78L1q0,0.3182
gZvEfghjpJ4,0.0
lkrgRl_g__4,0.0
FD_0Sz2Zc3w,0.0
Zzc0yFAEN8U,-0.4939
JZ_tGKiMYpw,0.0
07ABUwjEW44,0.0
Jcm72G9gLCY,0.0
TEhpWAFuWFk,0.0
1mxnK0lBakU,-0.25
mB0qaFpq-OU,0.0
FkgH1yG4BUc,0.0
nvspHfsIoVE,0.0
EZNdiyJ_QEA,0.0
GEIetH9N6oo,0.2732
Dn7gWOPeUu8,0.0
qmN7MfOysXg,0.0
iVvaBHyHbFM,0.6369
pqhmDeLg0LA,0.0
EKAfyZD8MGU,0.0
Y90K7wABx5o,0.0
8jiRTKhM9WU,0.128
o93IxHyEcbk,0.0
YDcYCzWZ4Rs,-0.5423
0WyDAPkyChE,-0.4019
S-GLlNDpOtk,0.0
LZ_EVF1RC_k,-0.4767
oTGMvmbXduk,0.0
ftBvcrNaqrM,-0.3612
Dgq7TPZ6wH4,0.0
BhVYcO4tO30,0.0
-5KPfJ1Oj04,0.5267
9QAeqh3kSa4,-0.4939
pE2r_6-E7QA,0.743
vXrtOxO8j4A,0.3612
NmcoQFuBJGg,0.4404
RAqMxbHUlHg,0.0
fwDvRKq6X-c,0.0
ghNKMMl_2iQ,0.0
CgcfgnV7QLo,-0.6249
tF930nPZxxw,0.0
8O-IODLU5pc,0.0
FLIVOu7LkZs,0.0
haRWvj3V1yA,0.0
85W2b1BTEc4,0.5423
jV7-EYA0MGo,0.0
slgl-MZwK7U,-0.5994
RPqFQgvsOx4,0.0
2RLI90ZbwPk,0.0
Hzb4PpfrOZE,0.0
SQNcq5cetuY,0.0
4M6fW1ElZwQ,0.0
wK092Jb092E,0.0
I7aHnR3aZuo,0.0
SUSillmduSE,0.2023
nBaXKPsg4F4,0.0
SbvJfkpaJ0Y,0.5574
