"","query","score","category"
"2","song","100","general"
"3","music","69","general"
"4","songs","69","general"
"5","baby","60","general"
"6","tiktok","41","general"
"7","kids","35","general"
"8","roblox","31","general"
"9","nba","27","general"
"10","minecraft","27","general"
"11","fortnite","26","general"
"12","asmr","23","general"
"13","cocomelon","23","general"
"14","nba youngboy","18","general"
"15","fnf","16","general"
"16","youtube","16","general"
"17","dhar mann","15","general"
"18","mrbeast","15","general"
"19","gacha life","14","general"
"20","sssniperwolf","14","general"
"21","sonic","13","general"
"22","lil baby","12","general"
"23","aphmau","12","general"
"24","drake","12","general"
"25","lil durk","11","general"
"26","fnaf","11","general"
"27","song","100","arts & entertainment"
"31","songs","96","arts & entertainment"
"41","music","89","arts & entertainment"
"51","movies","33","arts & entertainment"
"61","funny","30","arts & entertainment"
"71","dhar mann","23","arts & entertainment"
"81","playlist","16","arts & entertainment"
"91","mickey mouse","15","arts & entertainment"
"101","drake","15","arts & entertainment"
"111","karaoke","15","arts & entertainment"
"121","anime","14","arts & entertainment"
"131","rap","14","arts & entertainment"
"141","fortnite","14","arts & entertainment"
"151","youtube","13","arts & entertainment"
"161","roblox","12","arts & entertainment"
"171","how to draw","12","arts & entertainment"
"181","bad bunny","12","arts & entertainment"
"191","naruto","12","arts & entertainment"
"201","minecraft","11","arts & entertainment"
"211","spongebob","11","arts & entertainment"
"221","memes","11","arts & entertainment"
"231","unspeakable","11","arts & entertainment"
"241","kodak","10","arts & entertainment"
"251","cartoon","9","arts & entertainment"
"261","eminem","9","arts & entertainment"
"28","adley","100","autos & vehicles"
"32","paw patrol","66","autos & vehicles"
"42","car","56","autos & vehicles"
"52","cars","39","autos & vehicles"
"62","a for adley","38","autos & vehicles"
"72","trucks","31","autos & vehicles"
"82","bike","30","autos & vehicles"
"92","polo g","25","autos & vehicles"
"102","jeep","22","autos & vehicles"
"112","santa fe","22","autos & vehicles"
"122","santa fe klan","19","autos & vehicles"
"132","carter","17","autos & vehicles"
"142","motorcycle","15","autos & vehicles"
"152","rv","15","autos & vehicles"
"162","carter sharer","14","autos & vehicles"
"172","turbo","14","autos & vehicles"
"182","nardo wick","14","autos & vehicles"
"192","vy","13","autos & vehicles"
"202","dirt bike","13","autos & vehicles"
"212","alfa","13","autos & vehicles"
"222","off road","13","autos & vehicles"
"232","corvette corvette","11","autos & vehicles"
"242","monster truck","11","autos & vehicles"
"252","bryson","10","autos & vehicles"
"262","wheels","10","autos & vehicles"
"29","workout","100","beauty & fitness"
"33","hair","64","beauty & fitness"
"43","yoga","62","beauty & fitness"
"53","makeup","34","beauty & fitness"
"63","body","18","beauty & fitness"
"73","asmr","15","beauty & fitness"
"83","exercise","15","beauty & fitness"
"93","hairstyles","13","beauty & fitness"
"103","adriene yoga","12","beauty & fitness"
"113","abs","11","beauty & fitness"
"123","yoga with adriene","11","beauty & fitness"
"133","nails","10","beauty & fitness"
"143","music","10","beauty & fitness"
"153","zumba","8","beauty & fitness"
"163","short","8","beauty & fitness"
"173","fashion","8","beauty & fitness"
"183","haircut","8","beauty & fitness"
"193","ab workout","8","beauty & fitness"
"203","home workout","7","beauty & fitness"
"213","tattoo","7","beauty & fitness"
"223","carin leon","7","beauty & fitness"
"233","makeup tutorial","7","beauty & fitness"
"243","camila cabello","6","beauty & fitness"
"253","workout at home","6","beauty & fitness"
"263","abs workout","6","beauty & fitness"
"210","audiobook","100","books & literature"
"34","story","92","books & literature"
"44","book","84","books & literature"
"54","harry potter","62","books & literature"
"64","read aloud","61","books & literature"
"74","stories","60","books & literature"
"84","books","57","books & literature"
"94","film theory","32","books & literature"
"104","cleetus mcfarland","28","books & literature"
"114","roblox","27","books & literature"
"124","yeat","26","books & literature"
"134","piggy","24","books & literature"
"144","fortnite","20","books & literature"
"154","warrior cats","19","books & literature"
"164","game of thrones","19","books & literature"
"174","kids stories","18","books & literature"
"184","music","18","books & literature"
"194","chapter 3","17","books & literature"
"204","impractical jokers","17","books & literature"
"214","sus","17","books & literature"
"224","ebs","15","books & literature"
"234","sasunaru","15","books & literature"
"244","yaoi","15","books & literature"
"254","stories for kids","14","books & literature"
"264","magic school bus","14","books & literature"
"215","tiktok","100","business & industrial"
"35","tiktok mashup","23","business & industrial"
"45","norris nuts","6","business & industrial"
"55","songs","6","business & industrial"
"65","chad wild clay","5","business & industrial"
"75","tiktok mashup 2021","5","business & industrial"
"85","tiktok compilation","5","business & industrial"
"95","roblox","4","business & industrial"
"105","tiktok mashup 2022","4","business & industrial"
"115","gacha life","4","business & industrial"
"125","minecraft","4","business & industrial"
"135","music","4","business & industrial"
"145","tiktok songs","4","business & industrial"
"155","tractor","3","business & industrial"
"165","trucks","3","business & industrial"
"175","tiktok mashup clean","3","business & industrial"
"185","gacha life tiktok","3","business & industrial"
"195","tiktok dance","3","business & industrial"
"205","survival","3","business & industrial"
"216","fortnite","3","business & industrial"
"225","tiktok dances","3","business & industrial"
"235","asmr","3","business & industrial"
"245","motivation","2","business & industrial"
"255","gacha life tiktok compilation","2","business & industrial"
"265","aew","2","business & industrial"
"217","kodak","100","computers & electronics"
"36","squid game","75","computers & electronics"
"46","kodak black","71","computers & electronics"
"56","doja cat","45","computers & electronics"
"66","typical gamer","44","computers & electronics"
"76","vlad and niki","44","computers & electronics"
"86","nas","38","computers & electronics"
"96","fortnite","34","computers & electronics"
"106","minecraft","32","computers & electronics"
"116","roblox","32","computers & electronics"
"126","nintendo","32","computers & electronics"
"136","xbox","32","computers & electronics"
"146","mrbeast","31","computers & electronics"
"156","music","30","computers & electronics"
"166","lil nas x","29","computers & electronics"
"176","white noise","26","computers & electronics"
"186","scp","22","computers & electronics"
"196","360","21","computers & electronics"
"206","apple","20","computers & electronics"
"218","dream","19","computers & electronics"
"226","mrbeast gaming","18","computers & electronics"
"236","nintendo switch","17","computers & electronics"
"246","security breach","16","computers & electronics"
"256","dream smp","15","computers & electronics"
"266","sis vs bro","15","computers & electronics"
"219","bts","100","finance"
"37","money","12","finance"
"47","chase","11","finance"
"57","1 hour","10","finance"
"67","songs","7","finance"
"77","butter","6","finance"
"87","butter bts","6","finance"
"97","bank","5","finance"
"107","bts reaction","5","finance"
"117","bts songs","5","finance"
"127","mlp","4","finance"
"137","stocks","4","finance"
"147","amc","4","finance"
"157","dynamite","4","finance"
"167","dynamite bts","3","finance"
"177","run bts","3","finance"
"187","ebk","3","finance"
"197","amc stock","3","finance"
"207","permission to dance bts","3","finance"
"2110","bts on","3","finance"
"227","bts ff","3","finance"
"237","chase atlantic","3","finance"
"247","credit card","3","finance"
"257","blackpink","3","finance"
"267","music","3","finance"
"220","piper","100","food & drink"
"38","food","92","food & drink"
"48","piper rockelle","91","food & drink"
"58","chicken","91","food & drink"
"68","juice wrld","87","food & drink"
"78","jelly","68","food & drink"
"88","cake","67","food & drink"
"98","cooking","53","food & drink"
"108","pizza","49","food & drink"
"118","cheese","45","food & drink"
"128","asmr","43","food & drink"
"138","gummy bear","35","food & drink"
"148","candy","32","food & drink"
"158","ice cream","30","food & drink"
"168","eating","26","food & drink"
"178","mukbang","26","food & drink"
"188","chocolate","24","food & drink"
"198","gummy bear song","24","food & drink"
"208","soup","21","food & drink"
"2111","music","20","food & drink"
"228","frozen","19","food & drink"
"238","seafood","19","food & drink"
"248","rauw alejandro","17","food & drink"
"258","guava juice","17","food & drink"
"268","fresh","17","food & drink"
"229","fnf","100","games"
"39","sonic","90","games"
"49","game","69","games"
"59","gta","56","games"
"69","mario","53","games"
"79","games","52","games"
"89","pokemon","46","games"
"99","roblox","40","games"
"109","slime","38","games"
"119","gta 5","34","games"
"129","flamingo","30","games"
"139","minecraft","30","games"
"149","fortnite","27","games"
"159","music","23","games"
"169","cwc","22","games"
"179","warzone","20","games"
"189","freestyle","18","games"
"199","huggy wuggy","17","games"
"209","xbox","17","games"
"2112","it","17","games"
"2210","super mario","16","games"
"239","call of duty","15","games"
"249","nintendo","14","games"
"259","halo","14","games"
"269","kids videos for kids","14","games"
"230","asmr","100","health"
"310","reaction","21","health"
"410","pain","15","health"
"510","music","13","health"
"610","teeth","12","health"
"710","vaccine","12","health"
"810","morgan wallen","12","health"
"910","asmr eating","11","health"
"1010","doctor","9","health"
"1110","pop smoke","8","health"
"1210","fumando mota","7","health"
"1310","lava","7","health"
"1410","apex","7","health"
"1510","cartel de santa","7","health"
"1610","fat","7","health"
"1710","heart","7","health"
"1810","panda","7","health"
"1910","mood","6","health"
"2010","daily dose of internet","6","health"
"2113","wrong","6","health"
"2211","anxiety","6","health"
"2310","asmr sleep","6","health"
"2410","broken","5","health"
"2510","cpr","4","health"
"2610","pimple popping","4","health"
"240","christmas","100","hobbies & leisure"
"311","shark","88","hobbies & leisure"
"411","baby shark","72","hobbies & leisure"
"511","dog","64","hobbies & leisure"
"611","how to make","54","hobbies & leisure"
"711","cat","50","hobbies & leisure"
"811","songs","47","hobbies & leisure"
"911","fishing","43","hobbies & leisure"
"1011","scary","39","hobbies & leisure"
"1111","music","38","hobbies & leisure"
"1211","kodak","38","hobbies & leisure"
"1311","halloween","37","hobbies & leisure"
"1411","christmas songs","29","hobbies & leisure"
"1511","hunting","29","hobbies & leisure"
"1611","kodak black","26","hobbies & leisure"
"1711","dogs","21","hobbies & leisure"
"1811","crafts","20","hobbies & leisure"
"1911","minecraft","18","hobbies & leisure"
"2011","cats","18","hobbies & leisure"
"2114","christmas music","18","hobbies & leisure"
"2212","fish","18","hobbies & leisure"
"2311","roblox","17","hobbies & leisure"
"2411","happy birthday","16","hobbies & leisure"
"2511","adopt me","16","hobbies & leisure"
"2611","puppy","15","hobbies & leisure"
"250","rug","100","home & garden"
"312","faze rug","93","home & garden"
"412","minecraft","32","home & garden"
"512","kitchen","32","home & garden"
"612","pool","31","home & garden"
"712","fireplace","29","home & garden"
"812","cleaning","29","home & garden"
"912","garden","24","home & garden"
"1012","bad","21","home & garden"
"1112","zhc","21","home & garden"
"1212","diy","20","home & garden"
"1312","bed","18","home & garden"
"1412","music","18","home & garden"
"1512","light","18","home & garden"
"1612","shower","18","home & garden"
"1712","cut","15","home & garden"
"1812","lights","15","home & garden"
"1912","toilet","14","home & garden"
"2012","vacuum","14","home & garden"
"2115","fortnite","13","home & garden"
"2213","box","12","home & garden"
"2312","led","12","home & garden"
"2412","kirby","12","home & garden"
"2512","roblox","11","home & garden"
"2612","amc","10","home & garden"
"260","iphone","100","internet & telecom"
"313","phone","48","internet & telecom"
"413","speed","35","internet & telecom"
"513","texting story","34","internet & telecom"
"613","google","33","internet & telecom"
"713","diamond","32","internet & telecom"
"813","voice","30","internet & telecom"
"913","wap","28","internet & telecom"
"1013","iphone 13","28","internet & telecom"
"1113","familia diamond","27","internet & telecom"
"1213","juice wrld","24","internet & telecom"
"1313","the voice","24","internet & telecom"
"1413","alexa","21","internet & telecom"
"1513","calixo","17","internet & telecom"
"1613","orange","16","internet & telecom"
"1713","samsung","15","internet & telecom"
"1813","song","15","internet & telecom"
"1913","call","15","internet & telecom"
"2013","google link","14","internet & telecom"
"2116","iphone 13 pro","13","internet & telecom"
"2214","11","13","internet & telecom"
"2313","unboxing","13","internet & telecom"
"2413","music","12","internet & telecom"
"2513","123","12","internet & telecom"
"2613","oversimplified","12","internet & telecom"
"270","school","100","jobs & education"
"314","abc","68","jobs & education"
"414","abc song","59","jobs & education"
"514","high","42","jobs & education"
"614","high school","28","jobs & education"
"714","kindergarten","25","jobs & education"
"814","music","22","jobs & education"
"914","teacher","21","jobs & education"
"1014","alphabet","16","jobs & education"
"1114","test","14","jobs & education"
"1214","morning routines","12","jobs & education"
"1314","songs","11","jobs & education"
"1414","middle","9","jobs & education"
"1514","math","9","jobs & education"
"1614","cpr","8","jobs & education"
"1714","middle school","8","jobs & education"
"1814","study music","7","jobs & education"
"1914","8 bitryan","7","jobs & education"
"2014","mgk","6","jobs & education"
"2117","high school football","6","jobs & education"
"2215","alphabet song","6","jobs & education"
"2314","summer","6","jobs & education"
"2414","royale high","5","jobs & education"
"2514","abc phonics","5","jobs & education"
"2614","bde","5","jobs & education"
"271","royalty","100","law & government"
"315","firme","99","law & government"
"415","firme grupo","94","law & government"
